Tabela 6736 - Domicílios e Moradores, por situação do domicílio e destino do lixo	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15
Variável - Domicílios (Mil unidades)															
Unidade da Federação	Destino do lixo	Ano x Situação do domicílio													
		2016		2017		2018		2019		2022		2023		2024	
	Coletado diretamente por serviço de limpeza	3204	236	3171	241	3249	233	3426	274	3440	315	3511	348	3567	279
	Coletado em caçamba de serviço de limpeza	240	93	314	95	263	101	189	71	212	85	255	64	266	71
	Queimado (na propriedade)	3	139	3	141	3	142	4	131	3	133	3	113	7	110
	Outro destino	4	70	4	59	14	50	7	53	12	49	4	40	4	36
Mato Grosso do Sul	Total	776	90	792	87	807	91	816	87	887	89	924	96	936	87
	Coletado diretamente por serviço de limpeza	761	23	780	10	776	11	785	8	880	13	917	12	918	15
	Coletado em caçamba de serviço de limpeza	10	3	10	4	27	14	25	12	3	10	5	12	15	6
	Queimado (na propriedade)	4	47	1	53	3	49	4	49	1	54	1	58	2	55
	Outro destino	1	17	0	20	1	17	2	17	2	13	0	14	1	11
Mato Grosso	Total	927	168	949	168	973	178	967	173	1063	162	1165	153	1207	123
	Coletado diretamente por serviço de limpeza	873	37	879	24	895	18	940	21	989	20	1126	28	1171	13
	Coletado em caçamba de serviço de limpeza	37	14	64	9	69	10	22	5	69	10	33	5	30	6
	Queimado (na propriedade)	13	88	4	109	6	114	4	115	2	102	3	90	4	85
	Outro destino	5	29	1	25	3	36	1	31	3	30	3	30	2	19
Goiás	Total	2010	200	2075	206	2129	199	2202	198	2363	169	2509	168	2594	157
	Coletado diretamente por serviço de limpeza	1879	40	1893	33	1996	45	2157	13	2337	31	2484	19	2553	20
	Coletado em caçamba de serviço de limpeza	126	17	172	24	125	20	40	25	16	27	15	30	36	31
	Queimado (na propriedade)	4	117	7	123	4	105	4	128	6	88	8	97	5	86
	Outro destino	1	26	3	26	3	29	1	31	4	23	2	22	0	20
Distrito Federal	Total	880	57	901	56	905	60	893	58	964	46	1021	45	1009	38
	Coletado diretamente por serviço de limpeza	825	28	821	17	827	20	802	14	906	27	953	29	950	23
	Coletado em caçamba de serviço de limpeza	49	8	74	22	74	22	90	29	57	9	68	11	57	8
	Queimado (na propriedade)	-	11	1	15	0	13	1	13	1	7	-	3	1	6
	Outro destino	5	10	4	2	4	5	0	3	1	2	0	1	1	1
Fonte: IBGE - Pesquisa Nacional por Amostra de Domicílios Contínua Anual - 1ª visita															
