Alagoas	Outra	4	71	6	68	9	55	9	54	15	62	17	69	13	63
Sergipe	Total	541	181	558	175	556	170	582	170	614	174	650	172	659	170
Sergipe	Rede geral de distribuição	522	99	531	97	528	96	548	89	592	94	615	104	620	101
Sergipe	Poço profundo ou artesiano	9	51	12	38	9	32	17	35	11	23	8	19	9	22
Sergipe	Poço raso, freático ou cacimba	3	10	5	15	7	16	10	13	7	25	16	16	18	16
Sergipe	Fonte ou nascente	2	6	1	4	0	4	2	2	1	2	0	3	0	1
Sergipe	Outra	5	16	9	22	12	21	5	30	3	29	11	31	11	30
Bahia	Total	3512	1242	3530	1265	3488	1342	3631	1366	3760	1422	3937	1440	4184	1329
Bahia	Rede geral de distribuição	3421	621	3412	640	3342	721	3487	752	3598	732	3782	756	4065	612
Bahia	Poço profundo ou artesiano	40	179	65	194	71	210	66	187	80	259	83	278	73	310
Bahia	Poço raso, freático ou cacimba	25	65	20	77	46	62	40	84	47	91	36	75	32	81
Bahia	Fonte ou nascente	5	114	4	104	5	103	9	138	8	119	13	104	1	102
Bahia	Outra	21	262	28	250	24	246	28	205	27	220	24	226	12	225
Minas Gerais	Total	5955	876	6055	877	6176	895	6277	911	6468	1029	6846	986	7145	875
Minas Gerais	Rede geral de distribuição	5846	193	5978	201	6082	191	6186	224	6364	166	6727	165	7010	172
Minas Gerais	Poço profundo ou artesiano	51	201	38	179	51	201	43	160	49	296	65	296	63	244
Minas Gerais	Poço raso, freático ou cacimba	14	97	13	118	20	120	18	131	21	140	24	109	28	101
Minas Gerais	Fonte ou nascente	38	365	22	345	20	357	24	365	28	404	27	387	41	335
Minas Gerais	Outra	6	20	5	33	4	26	6	30	6	23	3	29	3	23
Espírito Santo	Total	1128	189	1131	181	1165	185	1177	188	1246	169	1309	176	1330	178
Espírito Santo	Rede geral de distribuição	1110	25	1105	19	1139	19	1142	24	1189	20	1258	29	1276	25
Espírito Santo	Poço profundo ou artesiano	13	69	18	62	19	69	26	66	38	67	43	73	38	70
Espírito Santo	Poço raso, freático ou cacimba	3	28	6	26	2	25	6	34	6	25	5	29	7	30
Espírito Santo	Fonte ou nascente	1	67	2	73	4	71	2	65	10	57	2	45	9	54
Espírito Santo	Outra	1	0	1	0	1	1	1	0	3	0	0	0	1	0
Rio de Janeiro	Total	5957	192	5985	188	6019	196	6116	178	6263	166	6397	164	6542	149
Rio de Janeiro	Rede geral de distribuição	5357	47	5382	65	5473	66	5475	53	5592	45	5664	31	5775	26
Rio de Janeiro	Poço profundo ou artesiano	497	79	491	59	445	70	537	75	529	57	590	61	595	55
Rio de Janeiro	Poço raso, freático ou cacimba	41	24	40	14	33	15	54	14	54	15	32	10	64	10
Rio de Janeiro	Fonte ou nascente	34	40	52	47	40	45	34	35	43	40	79	59	60	56
Rio de Janeiro	Outra	28	2	21	3	28	1	17	2	45	9	32	3	48	1
São Paulo	Total	14321	631	14347	623	14736	618	14897	611	15567	571	16335	565	16570	542
São Paulo	Rede geral de distribuição	14168	265	14184	241	14542	194	14717	188	15404	102	16115	105	16446	89
São Paulo	Poço profundo ou artesiano	67	204	67	171	105	232	72	206	98	262	110	258	84	233
São Paulo	Poço raso, freático ou cacimba	68	73	40	99	51	78	53	105	19	107	37	101	5	115
São Paulo	Fonte ou nascente	12	84	39	105	16	107	55	98	35	97	55	92	27	97
São Paulo	Outra	6	4	18	7	21	8	-	14	11	4	18	9	9	8
Paraná	Total	3321	467	3338	475	3380	499	3440	502	3673	488	3780	482	3875	458
Paraná	Rede geral de distribuição	3283	158	3274	148	3319	189	3378	166	3597	126	3705	146	3759	156
Paraná	Poço profundo ou artesiano	29	136	54	133	45	125	45	133	48	166	60	162	83	145
Paraná	Poço raso, freático ou cacimba	8	47	5	53	5	55	9	58	11	58	8	50	22	42
Paraná	Fonte ou nascente	1	122	3	138	5	129	7	143	15	136	4	118	9	112
Paraná	Outra	1	3	2	3	6	0	1	1	3	2	3	6	3	2
Santa Catarina	Total	2028	358	2106	354	2194	358	2227	354	2367	364	2539	340	2671	318
Santa Catarina	Rede geral de distribuição	1936	102	2000	89	2067	86	2079	86	2215	70	2395	83	2517	86
Santa Catarina	Poço profundo ou artesiano	58	98	62	106	87	87	102	103	93	124	83	110	95	105
Santa Catarina	Poço raso, freático ou cacimba	13	64	26	55	17	67	21	54	21	58	25	49	25	43
Santa Catarina	Fonte ou nascente	19	93	18	101	22	117	22	110	36	111	33	97	32	82
Santa Catarina	Outra	1	0	-	2	1	1	2	1	1	2	4	1	3	2
Rio Grande do Sul	Total	3450	538	3493	535	3529	525	3626	530	3667	581	3772	565	3844	496
Rio Grande do Sul	Rede geral de distribuição	3323	210	3365	200	3447	202	3472	201	3526	234	3612	204	3671	191
Rio Grande do Sul	Poço profundo ou artesiano	114	203	113	176	71	195	140	186	125	220	140	231	159	206
Rio Grande do Sul	Poço raso, freático ou cacimba	5	71	6	102	3	78	6	87	9	69	6	70	8	44
Rio Grande do Sul	Fonte ou nascente	4	53	4	56	3	49	3	54	4	55	11	57	3	52
Rio Grande do Sul	Outra	4	2	4	2	4	1	5	2	2	3	3	4	3	3
Mato Grosso do Sul	Total	776	90	792	87	807	91	816	87	887	89	924	96	936	87
Mato Grosso do Sul	Rede geral de distribuição	744	23	761	13	779	12	788	10	853	18	899	15	913	13
Mato Grosso do Sul	Poço profundo ou artesiano	24	54	23	55	26	69	25	62	29	59	22	72	21	65
Mato Grosso do Sul	Poço raso, freático ou cacimba	7	3	7	8	2	3	3	5	4	5	3	5	2	5
Mato Grosso do Sul	Fonte ou nascente	-	9	-	10	-	6	-	9	-	6	-	3	-	4
Mato Grosso do Sul	Outra	1	1	1	1	-	1	-	0	1	1	0	2	-	1
Mato Grosso	Total	927	168	949	168	973	178	967	173	1063	162	1165	153	1207	123
Mato Grosso	Rede geral de distribuição	851	29	882	23	906	16	906	11	1001	16	1100	16	1127	4
Mato Grosso	Poço profundo ou artesiano	56	84	46	78	40	93	32	99	38	103	42	96	62	78
Mato Grosso	Poço raso, freático ou cacimba	18	31	18	47	24	41	25	37	21	24	21	24	14	27
Mato Grosso	Fonte ou nascente	1	23	0	19	-	26	0	21	1	19	1	15	1	12
Mato Grosso	Outra	1	2	2	1	2	2	2	5	2	0	1	2	3	1
Goiás	Total	2010	200	2075	206	2129	199	2202	198	2363	169	2509	168	2594	157
Goiás	Rede geral de distribuição	1877	38	1937	26	2006	36	2075	11	2210	26	2330	20	2450	21
Goiás	Poço profundo ou artesiano	93	81	88	78	79	76	61	90	98	75	109	88	82	83
Goiás	Poço raso, freático ou cacimba	38	41	49	54	40	48	61	47	54	38	65	30	53	23
Goiás	Fonte ou nascente	1	40	1	45	2	38	1	46	-	27	2	27	1	28
Goiás	Outra	1	1	0	4	1	1	4	4	1	2	3	4	7	2
Distrito Federal	Total	880	57	901	56	905	60	893	58	964	46	1021	45	1009	38
Distrito Federal	Rede geral de distribuição	868	35	889	6	897	23	886	19	953	7	1014	15	1000	10
Distrito Federal	Poço profundo ou artesiano	11	12	9	39	6	27	6	22	9	24	7	20	7	20
Distrito Federal	Poço raso, freático ou cacimba	0	3	1	7	1	6	1	8	2	10	-	7	1	6
Distrito Federal	Fonte ou nascente	-	5	2	3	1	4	0	2	-	4	-	2	-	2
Distrito Federal	Outra	-	2	0	1	-	-	0	6	1	-	-	1	-	-
