"Tabela 7136 - Estudantes, por sexo e grupo de idade"
"Variável - Estudantes"
"Unidade da Federação";"Grupo de idade";"Ano x Sexo"
"Unidade da Federação";"Grupo de idade";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Grupo de idade";"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres"
"Roraima";"15 a 17 anos";"13";"Mil pessoas";"14";"Mil pessoas";"13";"Mil pessoas";"15";"Mil pessoas";"13";"Mil pessoas";"13";"Mil pessoas";"13";"Mil pessoas";"13";"Mil pessoas";"13";"Mil pessoas";"13";"Mil pessoas";"13";"Mil pessoas";"12";"Mil pessoas";"15";"Mil pessoas";"13";"Mil pessoas"
"Roraima";"18 a 24 anos";"10";"Mil pessoas";"10";"Mil pessoas";"12";"Mil pessoas";"13";"Mil pessoas";"12";"Mil pessoas";"11";"Mil pessoas";"13";"Mil pessoas";"11";"Mil pessoas";"9";"Mil pessoas";"11";"Mil pessoas";"10";"Mil pessoas";"12";"Mil pessoas";"12";"Mil pessoas";"13";"Mil pessoas"
"Roraima";"25 anos ou mais";"9";"Mil pessoas";"12";"Mil pessoas";"8";"Mil pessoas";"12";"Mil pessoas";"6";"Mil pessoas";"13";"Mil pessoas";"9";"Mil pessoas";"12";"Mil pessoas";"7";"Mil pessoas";"11";"Mil pessoas";"7";"Mil pessoas";"12";"Mil pessoas";"9";"Mil pessoas";"15";"Mil pessoas"
"Pará";"0 a 5 anos";"158";"Mil pessoas";"172";"Mil pessoas";"186";"Mil pessoas";"176";"Mil pessoas";"170";"Mil pessoas";"177";"Mil pessoas";"188";"Mil pessoas";"173";"Mil pessoas";"184";"Mil pessoas";"169";"Mil pessoas";"213";"Mil pessoas";"175";"Mil pessoas";"231";"Mil pessoas";"191";"Mil pessoas"
"Pará";"0 a 3 anos";"40";"Mil pessoas";"43";"Mil pessoas";"56";"Mil pessoas";"54";"Mil pessoas";"45";"Mil pessoas";"55";"Mil pessoas";"54";"Mil pessoas";"50";"Mil pessoas";"63";"Mil pessoas";"54";"Mil pessoas";"76";"Mil pessoas";"54";"Mil pessoas";"80";"Mil pessoas";"64";"Mil pessoas"
"Pará";"4 a 5 anos";"119";"Mil pessoas";"129";"Mil pessoas";"130";"Mil pessoas";"122";"Mil pessoas";"125";"Mil pessoas";"122";"Mil pessoas";"134";"Mil pessoas";"123";"Mil pessoas";"121";"Mil pessoas";"115";"Mil pessoas";"136";"Mil pessoas";"121";"Mil pessoas";"151";"Mil pessoas";"127";"Mil pessoas"
"Pará";"6 a 14 anos";"739";"Mil pessoas";"664";"Mil pessoas";"702";"Mil pessoas";"686";"Mil pessoas";"709";"Mil pessoas";"685";"Mil pessoas";"714";"Mil pessoas";"678";"Mil pessoas";"690";"Mil pessoas";"650";"Mil pessoas";"674";"Mil pessoas";"599";"Mil pessoas";"654";"Mil pessoas";"643";"Mil pessoas"
"Pará";"15 a 17 anos";"215";"Mil pessoas";"207";"Mil pessoas";"218";"Mil pessoas";"215";"Mil pessoas";"204";"Mil pessoas";"207";"Mil pessoas";"232";"Mil pessoas";"202";"Mil pessoas";"254";"Mil pessoas";"219";"Mil pessoas";"222";"Mil pessoas";"231";"Mil pessoas";"241";"Mil pessoas";"200";"Mil pessoas"
"Pará";"18 a 24 anos";"182";"Mil pessoas";"176";"Mil pessoas";"175";"Mil pessoas";"169";"Mil pessoas";"192";"Mil pessoas";"178";"Mil pessoas";"180";"Mil pessoas";"167";"Mil pessoas";"185";"Mil pessoas";"174";"Mil pessoas";"166";"Mil pessoas";"190";"Mil pessoas";"177";"Mil pessoas";"185";"Mil pessoas"
"Pará";"25 anos ou mais";"94";"Mil pessoas";"143";"Mil pessoas";"93";"Mil pessoas";"157";"Mil pessoas";"92";"Mil pessoas";"171";"Mil pessoas";"86";"Mil pessoas";"159";"Mil pessoas";"103";"Mil pessoas";"167";"Mil pessoas";"109";"Mil pessoas";"175";"Mil pessoas";"142";"Mil pessoas";"216";"Mil pessoas"
