"Tabela 7320 - Pessoas de 10 anos ou mais de idade, por sexo, condição de estudante e rede de ensino e curso frequentado"
"Variável - Pessoas de 10 anos ou mais de idade"
"Grande Região";"Condição de estudante, rede de ensino e curso frequentado";"Ano x Sexo"
"Grande Região";"Condição de estudante, rede de ensino e curso frequentado";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2021";;;;"2022";;;;"2023";;;;"2024"
"Grande Região";"Condição de estudante, rede de ensino e curso frequentado";"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres"
"Sudeste";"Rede privada";"2342";"Mil pessoas";"2513";"Mil pessoas";"2153";"Mil pessoas";"2602";"Mil pessoas";"2254";"Mil pessoas";"2651";"Mil pessoas";"2326";"Mil pessoas";"2761";"Mil pessoas";"2171";"Mil pessoas";"2964";"Mil pessoas";"2493";"Mil pessoas";"3093";"Mil pessoas";"2468";"Mil pessoas";"3079";"Mil pessoas";"2617";"Mil pessoas";"3179";"Mil pessoas"
"Sudeste";"Ensino Fundamental ou EJA do Ensino Fundamental (rede privada)";"624";"Mil pessoas";"569";"Mil pessoas";"585";"Mil pessoas";"595";"Mil pessoas";"597";"Mil pessoas";"591";"Mil pessoas";"622";"Mil pessoas";"592";"Mil pessoas";"619";"Mil pessoas";"699";"Mil pessoas";"677";"Mil pessoas";"621";"Mil pessoas";"656";"Mil pessoas";"643";"Mil pessoas";"719";"Mil pessoas";"709";"Mil pessoas"
"Sudeste";"Ensino Médio ou EJA do Ensino Médio (rede privada)";"353";"Mil pessoas";"318";"Mil pessoas";"264";"Mil pessoas";"286";"Mil pessoas";"267";"Mil pessoas";"244";"Mil pessoas";"246";"Mil pessoas";"288";"Mil pessoas";"212";"Mil pessoas";"285";"Mil pessoas";"273";"Mil pessoas";"278";"Mil pessoas";"267";"Mil pessoas";"305";"Mil pessoas";"309";"Mil pessoas";"332";"Mil pessoas"
"Sudeste";"Superior, Especialização, Mestrado ou Doutorado (rede privada)";"1363";"Mil pessoas";"1625";"Mil pessoas";"1301";"Mil pessoas";"1721";"Mil pessoas";"1390";"Mil pessoas";"1811";"Mil pessoas";"1455";"Mil pessoas";"1880";"Mil pessoas";"1338";"Mil pessoas";"1981";"Mil pessoas";"1541";"Mil pessoas";"2191";"Mil pessoas";"1543";"Mil pessoas";"2132";"Mil pessoas";"1589";"Mil pessoas";"2139";"Mil pessoas"
"Sul";"Não estudante";"9955";"Mil pessoas";"10451";"Mil pessoas";"10117";"Mil pessoas";"10504";"Mil pessoas";"10260";"Mil pessoas";"10635";"Mil pessoas";"10314";"Mil pessoas";"10658";"Mil pessoas";"10506";"Mil pessoas";"10717";"Mil pessoas";"10592";"Mil pessoas";"10788";"Mil pessoas";"10700";"Mil pessoas";"10940";"Mil pessoas";"10895";"Mil pessoas";"11117";"Mil pessoas"
"Sul";"Estudante";"2473";"Mil pessoas";"2588";"Mil pessoas";"2455";"Mil pessoas";"2597";"Mil pessoas";"2420";"Mil pessoas";"2548";"Mil pessoas";"2489";"Mil pessoas";"2551";"Mil pessoas";"2495";"Mil pessoas";"2664";"Mil pessoas";"2536";"Mil pessoas";"2665";"Mil pessoas";"2519";"Mil pessoas";"2659";"Mil pessoas";"2323";"Mil pessoas";"2638";"Mil pessoas"
"Sul";"Rede pública";"1779";"Mil pessoas";"1766";"Mil pessoas";"1715";"Mil pessoas";"1678";"Mil pessoas";"1702";"Mil pessoas";"1623";"Mil pessoas";"1757";"Mil pessoas";"1638";"Mil pessoas";"1764";"Mil pessoas";"1700";"Mil pessoas";"1782";"Mil pessoas";"1698";"Mil pessoas";"1681";"Mil pessoas";"1635";"Mil pessoas";"1538";"Mil pessoas";"1577";"Mil pessoas"
"Sul";"Ensino Fundamental ou EJA do Ensino Fundamental (rede pública)";"1106";"Mil pessoas";"1014";"Mil pessoas";"1075";"Mil pessoas";"984";"Mil pessoas";"1061";"Mil pessoas";"936";"Mil pessoas";"1079";"Mil pessoas";"938";"Mil pessoas";"1042";"Mil pessoas";"946";"Mil pessoas";"1049";"Mil pessoas";"950";"Mil pessoas";"1024";"Mil pessoas";"928";"Mil pessoas";"943";"Mil pessoas";"930";"Mil pessoas"
"Sul";"Ensino Médio ou EJA do Ensino Médio (rede pública)";"489";"Mil pessoas";"534";"Mil pessoas";"467";"Mil pessoas";"489";"Mil pessoas";"458";"Mil pessoas";"486";"Mil pessoas";"487";"Mil pessoas";"499";"Mil pessoas";"497";"Mil pessoas";"532";"Mil pessoas";"515";"Mil pessoas";"508";"Mil pessoas";"466";"Mil pessoas";"491";"Mil pessoas";"434";"Mil pessoas";"457";"Mil pessoas"
"Sul";"Superior, Especialização, Mestrado ou Doutorado (rede pública)";"179";"Mil pessoas";"210";"Mil pessoas";"169";"Mil pessoas";"198";"Mil pessoas";"178";"Mil pessoas";"195";"Mil pessoas";"185";"Mil pessoas";"195";"Mil pessoas";"218";"Mil pessoas";"212";"Mil pessoas";"205";"Mil pessoas";"228";"Mil pessoas";"185";"Mil pessoas";"202";"Mil pessoas";"161";"Mil pessoas";"189";"Mil pessoas"
"Sul";"Rede privada";"694";"Mil pessoas";"822";"Mil pessoas";"740";"Mil pessoas";"919";"Mil pessoas";"717";"Mil pessoas";"925";"Mil pessoas";"731";"Mil pessoas";"913";"Mil pessoas";"732";"Mil pessoas";"964";"Mil pessoas";"754";"Mil pessoas";"967";"Mil pessoas";"838";"Mil pessoas";"1025";"Mil pessoas";"786";"Mil pessoas";"1061";"Mil pessoas"
"Sul";"Ensino Fundamental ou EJA do Ensino Fundamental (rede privada)";"133";"Mil pessoas";"129";"Mil pessoas";"131";"Mil pessoas";"148";"Mil pessoas";"136";"Mil pessoas";"143";"Mil pessoas";"147";"Mil pessoas";"128";"Mil pessoas";"132";"Mil pessoas";"138";"Mil pessoas";"137";"Mil pessoas";"125";"Mil pessoas";"136";"Mil pessoas";"143";"Mil pessoas";"154";"Mil pessoas";"154";"Mil pessoas"
"Sul";"Ensino Médio ou EJA do Ensino Médio (rede privada)";"82";"Mil pessoas";"85";"Mil pessoas";"77";"Mil pessoas";"90";"Mil pessoas";"71";"Mil pessoas";"82";"Mil pessoas";"80";"Mil pessoas";"76";"Mil pessoas";"82";"Mil pessoas";"81";"Mil pessoas";"75";"Mil pessoas";"78";"Mil pessoas";"85";"Mil pessoas";"85";"Mil pessoas";"79";"Mil pessoas";"104";"Mil pessoas"
"Sul";"Superior, Especialização, Mestrado ou Doutorado (rede privada)";"477";"Mil pessoas";"606";"Mil pessoas";"531";"Mil pessoas";"681";"Mil pessoas";"508";"Mil pessoas";"700";"Mil pessoas";"504";"Mil pessoas";"708";"Mil pessoas";"518";"Mil pessoas";"745";"Mil pessoas";"542";"Mil pessoas";"764";"Mil pessoas";"617";"Mil pessoas";"797";"Mil pessoas";"552";"Mil pessoas";"803";"Mil pessoas"
"Centro-Oeste";"Não estudante";"5092";"Mil pessoas";"5249";"Mil pessoas";"5143";"Mil pessoas";"5371";"Mil pessoas";"5266";"Mil pessoas";"5443";"Mil pessoas";"5329";"Mil pessoas";"5524";"Mil pessoas";"5414";"Mil pessoas";"5576";"Mil pessoas";"5599";"Mil pessoas";"5673";"Mil pessoas";"5768";"Mil pessoas";"5808";"Mil pessoas";"5736";"Mil pessoas";"5887";"Mil pessoas"
"Centro-Oeste";"Estudante";"1421";"Mil pessoas";"1503";"Mil pessoas";"1454";"Mil pessoas";"1537";"Mil pessoas";"1462";"Mil pessoas";"1515";"Mil pessoas";"1452";"Mil pessoas";"1569";"Mil pessoas";"1490";"Mil pessoas";"1648";"Mil pessoas";"1474";"Mil pessoas";"1609";"Mil pessoas";"1442";"Mil pessoas";"1606";"Mil pessoas";"1466";"Mil pessoas";"1617";"Mil pessoas"
"Centro-Oeste";"Rede pública";"1042";"Mil pessoas";"1012";"Mil pessoas";"1021";"Mil pessoas";"989";"Mil pessoas";"1027";"Mil pessoas";"1009";"Mil pessoas";"1012";"Mil pessoas";"1027";"Mil pessoas";"1038";"Mil pessoas";"1085";"Mil pessoas";"996";"Mil pessoas";"1019";"Mil pessoas";"961";"Mil pessoas";"991";"Mil pessoas";"1011";"Mil pessoas";"1003";"Mil pessoas"
"Centro-Oeste";"Ensino Fundamental ou EJA do Ensino Fundamental (rede pública)";"648";"Mil pessoas";"584";"Mil pessoas";"634";"Mil pessoas";"568";"Mil pessoas";"641";"Mil pessoas";"579";"Mil pessoas";"608";"Mil pessoas";"592";"Mil pessoas";"619";"Mil pessoas";"598";"Mil pessoas";"583";"Mil pessoas";"569";"Mil pessoas";"584";"Mil pessoas";"527";"Mil pessoas";"620";"Mil pessoas";"567";"Mil pessoas"
"Centro-Oeste";"Ensino Médio ou EJA do Ensino Médio (rede pública)";"298";"Mil pessoas";"298";"Mil pessoas";"284";"Mil pessoas";"299";"Mil pessoas";"274";"Mil pessoas";"291";"Mil pessoas";"295";"Mil pessoas";"301";"Mil pessoas";"308";"Mil pessoas";"345";"Mil pessoas";"303";"Mil pessoas";"317";"Mil pessoas";"257";"Mil pessoas";"315";"Mil pessoas";"280";"Mil pessoas";"288";"Mil pessoas"
