"Tabela 6736 - Domicílios e Moradores, por situação do domicílio e destino do lixo"
"Variável - Domicílios"
"Unidade da Federação";"Destino do lixo";"Ano x Situação do domicílio"
"Unidade da Federação";"Destino do lixo";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Destino do lixo";"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural"
"Amapá";"Coletado diretamente por serviço de limpeza";"147";"Mil unidades";"1";"Mil unidades";"145";"Mil unidades";"5";"Mil unidades";"164";"Mil unidades";"2";"Mil unidades";"165";"Mil unidades";"3";"Mil unidades";"159";"Mil unidades";"6";"Mil unidades";"202";"Mil unidades";"3";"Mil unidades";"205";"Mil unidades";"5";"Mil unidades"
"Amapá";"Coletado em caçamba de serviço de limpeza";"29";"Mil unidades";"0";"Mil unidades";"32";"Mil unidades";"0";"Mil unidades";"18";"Mil unidades";"0";"Mil unidades";"9";"Mil unidades";"-";"Mil unidades";"33";"Mil unidades";"6";"Mil unidades";"15";"Mil unidades";"1";"Mil unidades";"8";"Mil unidades";"1";"Mil unidades"
"Amapá";"Queimado (na propriedade)";"1";"Mil unidades";"15";"Mil unidades";"1";"Mil unidades";"15";"Mil unidades";"0";"Mil unidades";"10";"Mil unidades";"0";"Mil unidades";"21";"Mil unidades";"1";"Mil unidades";"8";"Mil unidades";"1";"Mil unidades";"11";"Mil unidades";"1";"Mil unidades";"15";"Mil unidades"
"Amapá";"Outro destino";"1";"Mil unidades";"1";"Mil unidades";"-";"Mil unidades";"1";"Mil unidades";"0";"Mil unidades";"1";"Mil unidades";"-";"Mil unidades";"0";"Mil unidades";"2";"Mil unidades";"2";"Mil unidades";"1";"Mil unidades";"0";"Mil unidades";"1";"Mil unidades";"1";"Mil unidades"
"Tocantins";"Total";"381";"Mil unidades";"79";"Mil unidades";"387";"Mil unidades";"87";"Mil unidades";"401";"Mil unidades";"90";"Mil unidades";"409";"Mil unidades";"87";"Mil unidades";"439";"Mil unidades";"73";"Mil unidades";"454";"Mil unidades";"78";"Mil unidades";"474";"Mil unidades";"70";"Mil unidades"
"Tocantins";"Coletado diretamente por serviço de limpeza";"300";"Mil unidades";"8";"Mil unidades";"296";"Mil unidades";"9";"Mil unidades";"318";"Mil unidades";"10";"Mil unidades";"339";"Mil unidades";"8";"Mil unidades";"417";"Mil unidades";"8";"Mil unidades";"412";"Mil unidades";"11";"Mil unidades";"450";"Mil unidades";"15";"Mil unidades"
"Tocantins";"Coletado em caçamba de serviço de limpeza";"77";"Mil unidades";"8";"Mil unidades";"85";"Mil unidades";"5";"Mil unidades";"77";"Mil unidades";"4";"Mil unidades";"62";"Mil unidades";"4";"Mil unidades";"18";"Mil unidades";"4";"Mil unidades";"41";"Mil unidades";"6";"Mil unidades";"18";"Mil unidades";"4";"Mil unidades"
"Tocantins";"Queimado (na propriedade)";"2";"Mil unidades";"56";"Mil unidades";"4";"Mil unidades";"66";"Mil unidades";"4";"Mil unidades";"68";"Mil unidades";"6";"Mil unidades";"66";"Mil unidades";"2";"Mil unidades";"53";"Mil unidades";"1";"Mil unidades";"51";"Mil unidades";"5";"Mil unidades";"43";"Mil unidades"
"Tocantins";"Outro destino";"1";"Mil unidades";"7";"Mil unidades";"1";"Mil unidades";"8";"Mil unidades";"2";"Mil unidades";"9";"Mil unidades";"2";"Mil unidades";"9";"Mil unidades";"2";"Mil unidades";"8";"Mil unidades";"0";"Mil unidades";"10";"Mil unidades";"1";"Mil unidades";"8";"Mil unidades"
"Maranhão";"Total";"1290";"Mil unidades";"637";"Mil unidades";"1313";"Mil unidades";"633";"Mil unidades";"1305";"Mil unidades";"650";"Mil unidades";"1355";"Mil unidades";"653";"Mil unidades";"1531";"Mil unidades";"549";"Mil unidades";"1632";"Mil unidades";"594";"Mil unidades";"1642";"Mil unidades";"591";"Mil unidades"
