"Tabela 7134 - Pessoas de 25 anos ou mais de idade, por cor ou raça e grupos de anos de estudo"
"Variável - Pessoas de 25 anos ou mais de idade"
"Unidade da Federação";"Grupos de anos de estudo";"Ano x Cor ou raça"
"Unidade da Federação";"Grupos de anos de estudo";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Grupos de anos de estudo";"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda"
"Tocantins";"5 a 8 anos";"32";"Mil pessoas";"122";"Mil pessoas";"35";"Mil pessoas";"156";"Mil pessoas";"33";"Mil pessoas";"150";"Mil pessoas";"29";"Mil pessoas";"157";"Mil pessoas";"34";"Mil pessoas";"136";"Mil pessoas";"26";"Mil pessoas";"138";"Mil pessoas";"35";"Mil pessoas";"152";"Mil pessoas"
"Tocantins";"9 a 11 anos";"21";"Mil pessoas";"75";"Mil pessoas";"16";"Mil pessoas";"72";"Mil pessoas";"17";"Mil pessoas";"74";"Mil pessoas";"14";"Mil pessoas";"83";"Mil pessoas";"16";"Mil pessoas";"75";"Mil pessoas";"21";"Mil pessoas";"83";"Mil pessoas";"17";"Mil pessoas";"85";"Mil pessoas"
"Tocantins";"12 anos ou mais";"93";"Mil pessoas";"257";"Mil pessoas";"101";"Mil pessoas";"281";"Mil pessoas";"109";"Mil pessoas";"296";"Mil pessoas";"107";"Mil pessoas";"315";"Mil pessoas";"127";"Mil pessoas";"372";"Mil pessoas";"120";"Mil pessoas";"377";"Mil pessoas";"138";"Mil pessoas";"389";"Mil pessoas"
"Maranhão";"Sem instrução ou menos de 5 anos";"192";"Mil pessoas";"1025";"Mil pessoas";"177";"Mil pessoas";"1034";"Mil pessoas";"166";"Mil pessoas";"999";"Mil pessoas";"163";"Mil pessoas";"973";"Mil pessoas";"148";"Mil pessoas";"863";"Mil pessoas";"147";"Mil pessoas";"896";"Mil pessoas";"145";"Mil pessoas";"919";"Mil pessoas"
"Maranhão";"5 a 8 anos";"133";"Mil pessoas";"627";"Mil pessoas";"124";"Mil pessoas";"628";"Mil pessoas";"122";"Mil pessoas";"632";"Mil pessoas";"128";"Mil pessoas";"623";"Mil pessoas";"119";"Mil pessoas";"641";"Mil pessoas";"106";"Mil pessoas";"625";"Mil pessoas";"109";"Mil pessoas";"610";"Mil pessoas"
"Maranhão";"9 a 11 anos";"83";"Mil pessoas";"359";"Mil pessoas";"70";"Mil pessoas";"383";"Mil pessoas";"81";"Mil pessoas";"382";"Mil pessoas";"85";"Mil pessoas";"384";"Mil pessoas";"82";"Mil pessoas";"431";"Mil pessoas";"69";"Mil pessoas";"436";"Mil pessoas";"72";"Mil pessoas";"449";"Mil pessoas"
"Maranhão";"12 anos ou mais";"286";"Mil pessoas";"903";"Mil pessoas";"289";"Mil pessoas";"1010";"Mil pessoas";"312";"Mil pessoas";"1066";"Mil pessoas";"333";"Mil pessoas";"1127";"Mil pessoas";"375";"Mil pessoas";"1356";"Mil pessoas";"411";"Mil pessoas";"1414";"Mil pessoas";"418";"Mil pessoas";"1498";"Mil pessoas"
"Piauí";"Sem instrução ou menos de 5 anos";"102";"Mil pessoas";"535";"Mil pessoas";"101";"Mil pessoas";"504";"Mil pessoas";"91";"Mil pessoas";"517";"Mil pessoas";"87";"Mil pessoas";"516";"Mil pessoas";"107";"Mil pessoas";"504";"Mil pessoas";"101";"Mil pessoas";"467";"Mil pessoas";"85";"Mil pessoas";"460";"Mil pessoas"
"Piauí";"5 a 8 anos";"74";"Mil pessoas";"349";"Mil pessoas";"89";"Mil pessoas";"334";"Mil pessoas";"57";"Mil pessoas";"362";"Mil pessoas";"67";"Mil pessoas";"363";"Mil pessoas";"68";"Mil pessoas";"317";"Mil pessoas";"69";"Mil pessoas";"319";"Mil pessoas";"70";"Mil pessoas";"334";"Mil pessoas"
"Piauí";"9 a 11 anos";"43";"Mil pessoas";"191";"Mil pessoas";"41";"Mil pessoas";"196";"Mil pessoas";"37";"Mil pessoas";"207";"Mil pessoas";"38";"Mil pessoas";"194";"Mil pessoas";"43";"Mil pessoas";"185";"Mil pessoas";"37";"Mil pessoas";"187";"Mil pessoas";"43";"Mil pessoas";"199";"Mil pessoas"
"Piauí";"12 anos ou mais";"162";"Mil pessoas";"470";"Mil pessoas";"171";"Mil pessoas";"495";"Mil pessoas";"163";"Mil pessoas";"502";"Mil pessoas";"152";"Mil pessoas";"550";"Mil pessoas";"208";"Mil pessoas";"609";"Mil pessoas";"206";"Mil pessoas";"673";"Mil pessoas";"220";"Mil pessoas";"685";"Mil pessoas"
"Ceará";"Sem instrução ou menos de 5 anos";"347";"Mil pessoas";"1292";"Mil pessoas";"318";"Mil pessoas";"1206";"Mil pessoas";"281";"Mil pessoas";"1134";"Mil pessoas";"326";"Mil pessoas";"1152";"Mil pessoas";"329";"Mil pessoas";"1094";"Mil pessoas";"303";"Mil pessoas";"1085";"Mil pessoas";"294";"Mil pessoas";"1094";"Mil pessoas"
"Ceará";"5 a 8 anos";"225";"Mil pessoas";"748";"Mil pessoas";"258";"Mil pessoas";"827";"Mil pessoas";"247";"Mil pessoas";"846";"Mil pessoas";"224";"Mil pessoas";"817";"Mil pessoas";"263";"Mil pessoas";"799";"Mil pessoas";"223";"Mil pessoas";"825";"Mil pessoas";"213";"Mil pessoas";"828";"Mil pessoas"
"Ceará";"9 a 11 anos";"164";"Mil pessoas";"546";"Mil pessoas";"176";"Mil pessoas";"522";"Mil pessoas";"166";"Mil pessoas";"553";"Mil pessoas";"163";"Mil pessoas";"547";"Mil pessoas";"203";"Mil pessoas";"567";"Mil pessoas";"164";"Mil pessoas";"580";"Mil pessoas";"148";"Mil pessoas";"622";"Mil pessoas"
"Ceará";"12 anos ou mais";"644";"Mil pessoas";"1204";"Mil pessoas";"697";"Mil pessoas";"1346";"Mil pessoas";"749";"Mil pessoas";"1445";"Mil pessoas";"760";"Mil pessoas";"1528";"Mil pessoas";"868";"Mil pessoas";"1763";"Mil pessoas";"861";"Mil pessoas";"1858";"Mil pessoas";"886";"Mil pessoas";"1916";"Mil pessoas"
