"Tabela 6821 - Domicílios e Moradores, por condição de ocupação do domicílio"
"Variável - Domicílios"
"Unidade da Federação";"Ano x Condição de ocupação do domicílio"
"Unidade da Federação";"2016";;;;;;;;;;"2017";;;;;;;;;;"2018";;;;;;;;;;"2019";;;;;;;;;;"2022";;;;;;;;;;"2023";;;;;;;;;;"2024"
"Unidade da Federação";"Próprio de algum morador - já pago";;"Próprio de algum morador - ainda pagando";;"Alugado";;"Cedido";;"Outra condição";;"Próprio de algum morador - já pago";;"Próprio de algum morador - ainda pagando";;"Alugado";;"Cedido";;"Outra condição";;"Próprio de algum morador - já pago";;"Próprio de algum morador - ainda pagando";;"Alugado";;"Cedido";;"Outra condição";;"Próprio de algum morador - já pago";;"Próprio de algum morador - ainda pagando";;"Alugado";;"Cedido";;"Outra condição";;"Próprio de algum morador - já pago";;"Próprio de algum morador - ainda pagando";;"Alugado";;"Cedido";;"Outra condição";;"Próprio de algum morador - já pago";;"Próprio de algum morador - ainda pagando";;"Alugado";;"Cedido";;"Outra condição";;"Próprio de algum morador - já pago";;"Próprio de algum morador - ainda pagando";;"Alugado";;"Cedido";;"Outra condição"
"Paraná";"2332";"Mil unidades";"392";"Mil unidades";"738";"Mil unidades";"319";"Mil unidades";"6";"Mil unidades";"2393";"Mil unidades";"382";"Mil unidades";"715";"Mil unidades";"313";"Mil unidades";"9";"Mil unidades";"2407";"Mil unidades";"360";"Mil unidades";"752";"Mil unidades";"351";"Mil unidades";"9";"Mil unidades";"2395";"Mil unidades";"383";"Mil unidades";"780";"Mil unidades";"374";"Mil unidades";"9";"Mil unidades";"2391";"Mil unidades";"420";"Mil unidades";"965";"Mil unidades";"377";"Mil unidades";"8";"Mil unidades";"2443";"Mil unidades";"387";"Mil unidades";"1008";"Mil unidades";"415";"Mil unidades";"10";"Mil unidades";"2468";"Mil unidades";"434";"Mil unidades";"1032";"Mil unidades";"391";"Mil unidades";"9";"Mil unidades"
"Santa Catarina";"1588";"Mil unidades";"210";"Mil unidades";"445";"Mil unidades";"141";"Mil unidades";"2";"Mil unidades";"1679";"Mil unidades";"188";"Mil unidades";"466";"Mil unidades";"124";"Mil unidades";"3";"Mil unidades";"1695";"Mil unidades";"201";"Mil unidades";"497";"Mil unidades";"157";"Mil unidades";"2";"Mil unidades";"1707";"Mil unidades";"187";"Mil unidades";"532";"Mil unidades";"153";"Mil unidades";"3";"Mil unidades";"1762";"Mil unidades";"159";"Mil unidades";"638";"Mil unidades";"167";"Mil unidades";"6";"Mil unidades";"1779";"Mil unidades";"172";"Mil unidades";"760";"Mil unidades";"162";"Mil unidades";"5";"Mil unidades";"1793";"Mil unidades";"171";"Mil unidades";"862";"Mil unidades";"161";"Mil unidades";"2";"Mil unidades"
"Rio Grande do Sul";"2708";"Mil unidades";"336";"Mil unidades";"617";"Mil unidades";"316";"Mil unidades";"12";"Mil unidades";"2810";"Mil unidades";"314";"Mil unidades";"598";"Mil unidades";"298";"Mil unidades";"8";"Mil unidades";"2714";"Mil unidades";"387";"Mil unidades";"613";"Mil unidades";"319";"Mil unidades";"20";"Mil unidades";"2824";"Mil unidades";"356";"Mil unidades";"657";"Mil unidades";"302";"Mil unidades";"17";"Mil unidades";"2824";"Mil unidades";"369";"Mil unidades";"713";"Mil unidades";"334";"Mil unidades";"8";"Mil unidades";"2788";"Mil unidades";"418";"Mil unidades";"778";"Mil unidades";"344";"Mil unidades";"11";"Mil unidades";"2833";"Mil unidades";"373";"Mil unidades";"788";"Mil unidades";"332";"Mil unidades";"14";"Mil unidades"
"Mato Grosso do Sul";"514";"Mil unidades";"72";"Mil unidades";"175";"Mil unidades";"103";"Mil unidades";"2";"Mil unidades";"495";"Mil unidades";"75";"Mil unidades";"179";"Mil unidades";"126";"Mil unidades";"5";"Mil unidades";"504";"Mil unidades";"88";"Mil unidades";"178";"Mil unidades";"126";"Mil unidades";"2";"Mil unidades";"471";"Mil unidades";"98";"Mil unidades";"199";"Mil unidades";"132";"Mil unidades";"2";"Mil unidades";"500";"Mil unidades";"118";"Mil unidades";"230";"Mil unidades";"123";"Mil unidades";"4";"Mil unidades";"499";"Mil unidades";"104";"Mil unidades";"276";"Mil unidades";"137";"Mil unidades";"5";"Mil unidades";"528";"Mil unidades";"100";"Mil unidades";"270";"Mil unidades";"121";"Mil unidades";"4";"Mil unidades"
"Mato Grosso";"700";"Mil unidades";"30";"Mil unidades";"237";"Mil unidades";"127";"Mil unidades";"2";"Mil unidades";"708";"Mil unidades";"39";"Mil unidades";"247";"Mil unidades";"121";"Mil unidades";"2";"Mil unidades";"710";"Mil unidades";"57";"Mil unidades";"252";"Mil unidades";"126";"Mil unidades";"6";"Mil unidades";"683";"Mil unidades";"65";"Mil unidades";"260";"Mil unidades";"128";"Mil unidades";"2";"Mil unidades";"720";"Mil unidades";"70";"Mil unidades";"308";"Mil unidades";"123";"Mil unidades";"4";"Mil unidades";"732";"Mil unidades";"65";"Mil unidades";"392";"Mil unidades";"124";"Mil unidades";"3";"Mil unidades";"673";"Mil unidades";"96";"Mil unidades";"425";"Mil unidades";"133";"Mil unidades";"2";"Mil unidades"
"Goiás";"1331";"Mil unidades";"191";"Mil unidades";"463";"Mil unidades";"222";"Mil unidades";"3";"Mil unidades";"1286";"Mil unidades";"242";"Mil unidades";"516";"Mil unidades";"233";"Mil unidades";"6";"Mil unidades";"1247";"Mil unidades";"256";"Mil unidades";"563";"Mil unidades";"257";"Mil unidades";"4";"Mil unidades";"1327";"Mil unidades";"245";"Mil unidades";"552";"Mil unidades";"269";"Mil unidades";"7";"Mil unidades";"1290";"Mil unidades";"293";"Mil unidades";"685";"Mil unidades";"260";"Mil unidades";"3";"Mil unidades";"1367";"Mil unidades";"272";"Mil unidades";"760";"Mil unidades";"275";"Mil unidades";"2";"Mil unidades";"1357";"Mil unidades";"291";"Mil unidades";"838";"Mil unidades";"264";"Mil unidades";"1";"Mil unidades"
"Distrito Federal";"506";"Mil unidades";"35";"Mil unidades";"283";"Mil unidades";"109";"Mil unidades";"4";"Mil unidades";"512";"Mil unidades";"43";"Mil unidades";"281";"Mil unidades";"118";"Mil unidades";"2";"Mil unidades";"495";"Mil unidades";"64";"Mil unidades";"299";"Mil unidades";"107";"Mil unidades";"1";"Mil unidades";"520";"Mil unidades";"44";"Mil unidades";"291";"Mil unidades";"94";"Mil unidades";"2";"Mil unidades";"468";"Mil unidades";"68";"Mil unidades";"357";"Mil unidades";"115";"Mil unidades";"1";"Mil unidades";"508";"Mil unidades";"67";"Mil unidades";"359";"Mil unidades";"129";"Mil unidades";"3";"Mil unidades";"508";"Mil unidades";"38";"Mil unidades";"362";"Mil unidades";"136";"Mil unidades";"1";"Mil unidades"
"Fonte: IBGE - Pesquisa Nacional por Amostra de Domicílios Contínua Anual - 1ª visita"

"Notas"
