"Tabela 7111 - Pessoas de 15 anos ou mais, analfabetas, por sexo e grupo de idade"
"Variável - Pessoas de 15 anos ou mais de idade, analfabetas"
"Unidade da Federação";"Grupo de idade";"Ano x Sexo"
"Unidade da Federação";"Grupo de idade";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Grupo de idade";"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres"
"Paraíba";"60 anos ou mais";"92";"Mil pessoas";"111";"Mil pessoas";"92";"Mil pessoas";"109";"Mil pessoas";"101";"Mil pessoas";"103";"Mil pessoas";"106";"Mil pessoas";"102";"Mil pessoas";"102";"Mil pessoas";"105";"Mil pessoas";"98";"Mil pessoas";"94";"Mil pessoas";"102";"Mil pessoas";"101";"Mil pessoas"
"Pernambuco";"15 anos ou mais";"440";"Mil pessoas";"428";"Mil pessoas";"468";"Mil pessoas";"457";"Mil pessoas";"416";"Mil pessoas";"396";"Mil pessoas";"410";"Mil pessoas";"406";"Mil pessoas";"430";"Mil pessoas";"403";"Mil pessoas";"402";"Mil pessoas";"376";"Mil pessoas";"415";"Mil pessoas";"362";"Mil pessoas"
"Pernambuco";"18 anos ou mais";"435";"Mil pessoas";"426";"Mil pessoas";"462";"Mil pessoas";"455";"Mil pessoas";"412";"Mil pessoas";"395";"Mil pessoas";"405";"Mil pessoas";"406";"Mil pessoas";"427";"Mil pessoas";"402";"Mil pessoas";"401";"Mil pessoas";"376";"Mil pessoas";"415";"Mil pessoas";"361";"Mil pessoas"
"Pernambuco";"25 anos ou mais";"418";"Mil pessoas";"422";"Mil pessoas";"446";"Mil pessoas";"449";"Mil pessoas";"405";"Mil pessoas";"389";"Mil pessoas";"394";"Mil pessoas";"400";"Mil pessoas";"419";"Mil pessoas";"398";"Mil pessoas";"390";"Mil pessoas";"373";"Mil pessoas";"409";"Mil pessoas";"358";"Mil pessoas"
"Pernambuco";"40 anos ou mais";"339";"Mil pessoas";"382";"Mil pessoas";"364";"Mil pessoas";"404";"Mil pessoas";"330";"Mil pessoas";"354";"Mil pessoas";"331";"Mil pessoas";"367";"Mil pessoas";"365";"Mil pessoas";"369";"Mil pessoas";"335";"Mil pessoas";"348";"Mil pessoas";"359";"Mil pessoas";"338";"Mil pessoas"
"Pernambuco";"60 anos ou mais";"171";"Mil pessoas";"237";"Mil pessoas";"183";"Mil pessoas";"236";"Mil pessoas";"152";"Mil pessoas";"215";"Mil pessoas";"170";"Mil pessoas";"227";"Mil pessoas";"184";"Mil pessoas";"236";"Mil pessoas";"179";"Mil pessoas";"220";"Mil pessoas";"189";"Mil pessoas";"213";"Mil pessoas"
"Alagoas";"15 anos ou mais";"224";"Mil pessoas";"227";"Mil pessoas";"222";"Mil pessoas";"212";"Mil pessoas";"209";"Mil pessoas";"202";"Mil pessoas";"204";"Mil pessoas";"203";"Mil pessoas";"190";"Mil pessoas";"180";"Mil pessoas";"186";"Mil pessoas";"180";"Mil pessoas";"190";"Mil pessoas";"183";"Mil pessoas"
"Alagoas";"18 anos ou mais";"221";"Mil pessoas";"226";"Mil pessoas";"220";"Mil pessoas";"211";"Mil pessoas";"206";"Mil pessoas";"201";"Mil pessoas";"202";"Mil pessoas";"203";"Mil pessoas";"189";"Mil pessoas";"179";"Mil pessoas";"186";"Mil pessoas";"179";"Mil pessoas";"190";"Mil pessoas";"183";"Mil pessoas"
"Alagoas";"25 anos ou mais";"214";"Mil pessoas";"223";"Mil pessoas";"212";"Mil pessoas";"207";"Mil pessoas";"200";"Mil pessoas";"197";"Mil pessoas";"195";"Mil pessoas";"199";"Mil pessoas";"184";"Mil pessoas";"178";"Mil pessoas";"182";"Mil pessoas";"177";"Mil pessoas";"183";"Mil pessoas";"182";"Mil pessoas"
"Alagoas";"40 anos ou mais";"163";"Mil pessoas";"190";"Mil pessoas";"166";"Mil pessoas";"178";"Mil pessoas";"162";"Mil pessoas";"173";"Mil pessoas";"164";"Mil pessoas";"176";"Mil pessoas";"151";"Mil pessoas";"160";"Mil pessoas";"155";"Mil pessoas";"162";"Mil pessoas";"159";"Mil pessoas";"170";"Mil pessoas"
