"Tabela 7128 - Pessoas de 14 anos ou mais de idade, por sexo e nível de instrução"
"Variável - Pessoas de 14 anos ou mais de idade"
"Unidade da Federação";"Nível de instrução";"Ano x Sexo"
"Unidade da Federação";"Nível de instrução";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Nível de instrução";"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres"
"Roraima";"Ensino médio completo ou equivalente";"52";"Mil pessoas";"52";"Mil pessoas";"55";"Mil pessoas";"58";"Mil pessoas";"59";"Mil pessoas";"58";"Mil pessoas";"62";"Mil pessoas";"66";"Mil pessoas";"80";"Mil pessoas";"84";"Mil pessoas";"79";"Mil pessoas";"82";"Mil pessoas";"79";"Mil pessoas";"81";"Mil pessoas"
"Roraima";"Ensino superior incompleto ou equivalente";"9";"Mil pessoas";"11";"Mil pessoas";"12";"Mil pessoas";"15";"Mil pessoas";"13";"Mil pessoas";"16";"Mil pessoas";"14";"Mil pessoas";"15";"Mil pessoas";"13";"Mil pessoas";"16";"Mil pessoas";"11";"Mil pessoas";"16";"Mil pessoas";"17";"Mil pessoas";"21";"Mil pessoas"
"Roraima";"Superior completo";"18";"Mil pessoas";"29";"Mil pessoas";"18";"Mil pessoas";"29";"Mil pessoas";"22";"Mil pessoas";"35";"Mil pessoas";"26";"Mil pessoas";"36";"Mil pessoas";"28";"Mil pessoas";"36";"Mil pessoas";"28";"Mil pessoas";"41";"Mil pessoas";"26";"Mil pessoas";"45";"Mil pessoas"
"Pará";"Sem instrução";"214";"Mil pessoas";"178";"Mil pessoas";"192";"Mil pessoas";"179";"Mil pessoas";"184";"Mil pessoas";"169";"Mil pessoas";"164";"Mil pessoas";"151";"Mil pessoas";"203";"Mil pessoas";"175";"Mil pessoas";"188";"Mil pessoas";"156";"Mil pessoas";"193";"Mil pessoas";"145";"Mil pessoas"
"Pará";"Ensino fundamental incompleto ou equivalente";"1282";"Mil pessoas";"1089";"Mil pessoas";"1281";"Mil pessoas";"1066";"Mil pessoas";"1296";"Mil pessoas";"1050";"Mil pessoas";"1283";"Mil pessoas";"1054";"Mil pessoas";"1242";"Mil pessoas";"992";"Mil pessoas";"1190";"Mil pessoas";"1012";"Mil pessoas";"1125";"Mil pessoas";"925";"Mil pessoas"
"Pará";"Ensino fundamental completo ou equivalente";"292";"Mil pessoas";"303";"Mil pessoas";"306";"Mil pessoas";"308";"Mil pessoas";"320";"Mil pessoas";"290";"Mil pessoas";"298";"Mil pessoas";"304";"Mil pessoas";"307";"Mil pessoas";"293";"Mil pessoas";"309";"Mil pessoas";"305";"Mil pessoas";"314";"Mil pessoas";"314";"Mil pessoas"
"Pará";"Ensino médio incompleto ou equivalente";"311";"Mil pessoas";"318";"Mil pessoas";"313";"Mil pessoas";"337";"Mil pessoas";"316";"Mil pessoas";"327";"Mil pessoas";"326";"Mil pessoas";"309";"Mil pessoas";"357";"Mil pessoas";"339";"Mil pessoas";"339";"Mil pessoas";"338";"Mil pessoas";"372";"Mil pessoas";"317";"Mil pessoas"
"Pará";"Ensino médio completo ou equivalente";"689";"Mil pessoas";"857";"Mil pessoas";"712";"Mil pessoas";"902";"Mil pessoas";"757";"Mil pessoas";"893";"Mil pessoas";"784";"Mil pessoas";"974";"Mil pessoas";"892";"Mil pessoas";"994";"Mil pessoas";"932";"Mil pessoas";"1084";"Mil pessoas";"965";"Mil pessoas";"1114";"Mil pessoas"
"Pará";"Ensino superior incompleto ou equivalente";"88";"Mil pessoas";"114";"Mil pessoas";"100";"Mil pessoas";"129";"Mil pessoas";"120";"Mil pessoas";"150";"Mil pessoas";"116";"Mil pessoas";"149";"Mil pessoas";"134";"Mil pessoas";"167";"Mil pessoas";"139";"Mil pessoas";"178";"Mil pessoas";"175";"Mil pessoas";"203";"Mil pessoas"
"Pará";"Superior completo";"164";"Mil pessoas";"255";"Mil pessoas";"159";"Mil pessoas";"283";"Mil pessoas";"201";"Mil pessoas";"324";"Mil pessoas";"218";"Mil pessoas";"331";"Mil pessoas";"262";"Mil pessoas";"424";"Mil pessoas";"287";"Mil pessoas";"453";"Mil pessoas";"295";"Mil pessoas";"500";"Mil pessoas"
"Amapá";"Sem instrução";"13";"Mil pessoas";"15";"Mil pessoas";"11";"Mil pessoas";"13";"Mil pessoas";"15";"Mil pessoas";"18";"Mil pessoas";"17";"Mil pessoas";"18";"Mil pessoas";"19";"Mil pessoas";"19";"Mil pessoas";"22";"Mil pessoas";"23";"Mil pessoas";"21";"Mil pessoas";"21";"Mil pessoas"
"Amapá";"Ensino fundamental incompleto ou equivalente";"80";"Mil pessoas";"65";"Mil pessoas";"90";"Mil pessoas";"69";"Mil pessoas";"89";"Mil pessoas";"69";"Mil pessoas";"82";"Mil pessoas";"68";"Mil pessoas";"81";"Mil pessoas";"69";"Mil pessoas";"72";"Mil pessoas";"66";"Mil pessoas";"86";"Mil pessoas";"63";"Mil pessoas"
"Amapá";"Ensino fundamental completo ou equivalente";"25";"Mil pessoas";"27";"Mil pessoas";"32";"Mil pessoas";"24";"Mil pessoas";"26";"Mil pessoas";"25";"Mil pessoas";"29";"Mil pessoas";"24";"Mil pessoas";"30";"Mil pessoas";"25";"Mil pessoas";"25";"Mil pessoas";"22";"Mil pessoas";"29";"Mil pessoas";"24";"Mil pessoas"
"Amapá";"Ensino médio incompleto ou equivalente";"31";"Mil pessoas";"27";"Mil pessoas";"31";"Mil pessoas";"28";"Mil pessoas";"28";"Mil pessoas";"28";"Mil pessoas";"32";"Mil pessoas";"33";"Mil pessoas";"28";"Mil pessoas";"29";"Mil pessoas";"34";"Mil pessoas";"29";"Mil pessoas";"28";"Mil pessoas";"27";"Mil pessoas"
"Amapá";"Ensino médio completo ou equivalente";"80";"Mil pessoas";"91";"Mil pessoas";"79";"Mil pessoas";"92";"Mil pessoas";"87";"Mil pessoas";"92";"Mil pessoas";"87";"Mil pessoas";"108";"Mil pessoas";"104";"Mil pessoas";"107";"Mil pessoas";"116";"Mil pessoas";"113";"Mil pessoas";"109";"Mil pessoas";"121";"Mil pessoas"
"Amapá";"Ensino superior incompleto ou equivalente";"13";"Mil pessoas";"20";"Mil pessoas";"18";"Mil pessoas";"25";"Mil pessoas";"18";"Mil pessoas";"27";"Mil pessoas";"24";"Mil pessoas";"24";"Mil pessoas";"23";"Mil pessoas";"27";"Mil pessoas";"20";"Mil pessoas";"25";"Mil pessoas";"15";"Mil pessoas";"30";"Mil pessoas"
"Amapá";"Superior completo";"30";"Mil pessoas";"41";"Mil pessoas";"28";"Mil pessoas";"48";"Mil pessoas";"32";"Mil pessoas";"47";"Mil pessoas";"35";"Mil pessoas";"49";"Mil pessoas";"45";"Mil pessoas";"65";"Mil pessoas";"50";"Mil pessoas";"76";"Mil pessoas";"54";"Mil pessoas";"72";"Mil pessoas"
"Tocantins";"Sem instrução";"63";"Mil pessoas";"50";"Mil pessoas";"63";"Mil pessoas";"51";"Mil pessoas";"61";"Mil pessoas";"50";"Mil pessoas";"49";"Mil pessoas";"44";"Mil pessoas";"51";"Mil pessoas";"39";"Mil pessoas";"49";"Mil pessoas";"47";"Mil pessoas";"42";"Mil pessoas";"33";"Mil pessoas"
