"Tabela 6731 - Domicílios e Moradores, por situação do domicílio e principal fonte de abastecimento de água"
"Variável - Domicílios"
"Unidade da Federação";"Principal fonte de abastecimento de água";"Ano x Situação do domicílio"
"Unidade da Federação";"Principal fonte de abastecimento de água";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Principal fonte de abastecimento de água";"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural"
"Pará";"Poço profundo ou artesiano";"406";"Mil unidades";"152";"Mil unidades";"452";"Mil unidades";"132";"Mil unidades";"462";"Mil unidades";"138";"Mil unidades";"536";"Mil unidades";"160";"Mil unidades";"601";"Mil unidades";"174";"Mil unidades";"587";"Mil unidades";"162";"Mil unidades";"643";"Mil unidades";"200";"Mil unidades"
"Pará";"Poço raso, freático ou cacimba";"197";"Mil unidades";"151";"Mil unidades";"225";"Mil unidades";"186";"Mil unidades";"260";"Mil unidades";"176";"Mil unidades";"196";"Mil unidades";"171";"Mil unidades";"183";"Mil unidades";"129";"Mil unidades";"244";"Mil unidades";"132";"Mil unidades";"197";"Mil unidades";"113";"Mil unidades"
"Pará";"Fonte ou nascente";"2";"Mil unidades";"57";"Mil unidades";"0";"Mil unidades";"49";"Mil unidades";"1";"Mil unidades";"43";"Mil unidades";"-";"Mil unidades";"45";"Mil unidades";"-";"Mil unidades";"60";"Mil unidades";"0";"Mil unidades";"65";"Mil unidades";"0";"Mil unidades";"56";"Mil unidades"
"Pará";"Outra";"35";"Mil unidades";"97";"Mil unidades";"30";"Mil unidades";"88";"Mil unidades";"7";"Mil unidades";"92";"Mil unidades";"18";"Mil unidades";"100";"Mil unidades";"12";"Mil unidades";"83";"Mil unidades";"19";"Mil unidades";"123";"Mil unidades";"12";"Mil unidades";"81";"Mil unidades"
"Amapá";"Total";"177";"Mil unidades";"17";"Mil unidades";"178";"Mil unidades";"20";"Mil unidades";"182";"Mil unidades";"12";"Mil unidades";"174";"Mil unidades";"24";"Mil unidades";"195";"Mil unidades";"23";"Mil unidades";"219";"Mil unidades";"15";"Mil unidades";"214";"Mil unidades";"23";"Mil unidades"
"Amapá";"Rede geral de distribuição";"114";"Mil unidades";"1";"Mil unidades";"110";"Mil unidades";"1";"Mil unidades";"114";"Mil unidades";"2";"Mil unidades";"104";"Mil unidades";"5";"Mil unidades";"107";"Mil unidades";"3";"Mil unidades";"125";"Mil unidades";"4";"Mil unidades";"123";"Mil unidades";"4";"Mil unidades"
"Amapá";"Poço profundo ou artesiano";"40";"Mil unidades";"5";"Mil unidades";"39";"Mil unidades";"7";"Mil unidades";"47";"Mil unidades";"6";"Mil unidades";"53";"Mil unidades";"7";"Mil unidades";"54";"Mil unidades";"15";"Mil unidades";"68";"Mil unidades";"6";"Mil unidades";"52";"Mil unidades";"10";"Mil unidades"
"Amapá";"Poço raso, freático ou cacimba";"21";"Mil unidades";"3";"Mil unidades";"28";"Mil unidades";"3";"Mil unidades";"20";"Mil unidades";"2";"Mil unidades";"17";"Mil unidades";"3";"Mil unidades";"29";"Mil unidades";"2";"Mil unidades";"24";"Mil unidades";"3";"Mil unidades";"36";"Mil unidades";"4";"Mil unidades"
"Amapá";"Fonte ou nascente";"0";"Mil unidades";"0";"Mil unidades";"-";"Mil unidades";"0";"Mil unidades";"-";"Mil unidades";"1";"Mil unidades";"0";"Mil unidades";"1";"Mil unidades";"-";"Mil unidades";"1";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"1";"Mil unidades"
"Amapá";"Outra";"2";"Mil unidades";"9";"Mil unidades";"0";"Mil unidades";"8";"Mil unidades";"1";"Mil unidades";"2";"Mil unidades";"1";"Mil unidades";"8";"Mil unidades";"4";"Mil unidades";"2";"Mil unidades";"2";"Mil unidades";"2";"Mil unidades";"4";"Mil unidades";"3";"Mil unidades"
