"Tabela 7129 - Pessoas de 14 anos ou mais de idade, por cor ou raça e nível de instrução"
"Variável - Pessoas de 14 anos ou mais de idade"
"Unidade da Federação";"Nível de instrução";"Ano x Cor ou raça"
"Unidade da Federação";"Nível de instrução";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Nível de instrução";"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda"
"Roraima";"Ensino médio completo ou equivalente";"21";"Mil pessoas";"79";"Mil pessoas";"25";"Mil pessoas";"84";"Mil pessoas";"23";"Mil pessoas";"85";"Mil pessoas";"25";"Mil pessoas";"98";"Mil pessoas";"28";"Mil pessoas";"130";"Mil pessoas";"31";"Mil pessoas";"122";"Mil pessoas";"32";"Mil pessoas";"121";"Mil pessoas"
"Roraima";"Ensino superior incompleto ou equivalente";"6";"Mil pessoas";"13";"Mil pessoas";"8";"Mil pessoas";"18";"Mil pessoas";"7";"Mil pessoas";"20";"Mil pessoas";"7";"Mil pessoas";"21";"Mil pessoas";"6";"Mil pessoas";"21";"Mil pessoas";"6";"Mil pessoas";"20";"Mil pessoas";"8";"Mil pessoas";"27";"Mil pessoas"
"Roraima";"Superior completo";"17";"Mil pessoas";"29";"Mil pessoas";"18";"Mil pessoas";"29";"Mil pessoas";"18";"Mil pessoas";"37";"Mil pessoas";"22";"Mil pessoas";"37";"Mil pessoas";"19";"Mil pessoas";"45";"Mil pessoas";"23";"Mil pessoas";"43";"Mil pessoas";"21";"Mil pessoas";"48";"Mil pessoas"
"Pará";"Sem instrução";"48";"Mil pessoas";"341";"Mil pessoas";"48";"Mil pessoas";"320";"Mil pessoas";"41";"Mil pessoas";"307";"Mil pessoas";"35";"Mil pessoas";"277";"Mil pessoas";"52";"Mil pessoas";"323";"Mil pessoas";"42";"Mil pessoas";"299";"Mil pessoas";"56";"Mil pessoas";"279";"Mil pessoas"
"Pará";"Ensino fundamental incompleto ou equivalente";"324";"Mil pessoas";"2034";"Mil pessoas";"325";"Mil pessoas";"2004";"Mil pessoas";"304";"Mil pessoas";"2009";"Mil pessoas";"319";"Mil pessoas";"1996";"Mil pessoas";"340";"Mil pessoas";"1875";"Mil pessoas";"330";"Mil pessoas";"1855";"Mil pessoas";"310";"Mil pessoas";"1724";"Mil pessoas"
"Pará";"Ensino fundamental completo ou equivalente";"91";"Mil pessoas";"500";"Mil pessoas";"92";"Mil pessoas";"517";"Mil pessoas";"99";"Mil pessoas";"502";"Mil pessoas";"102";"Mil pessoas";"496";"Mil pessoas";"104";"Mil pessoas";"492";"Mil pessoas";"104";"Mil pessoas";"507";"Mil pessoas";"105";"Mil pessoas";"518";"Mil pessoas"
"Pará";"Ensino médio incompleto ou equivalente";"113";"Mil pessoas";"515";"Mil pessoas";"124";"Mil pessoas";"521";"Mil pessoas";"96";"Mil pessoas";"540";"Mil pessoas";"91";"Mil pessoas";"533";"Mil pessoas";"124";"Mil pessoas";"566";"Mil pessoas";"110";"Mil pessoas";"565";"Mil pessoas";"115";"Mil pessoas";"570";"Mil pessoas"
"Pará";"Ensino médio completo ou equivalente";"273";"Mil pessoas";"1265";"Mil pessoas";"286";"Mil pessoas";"1309";"Mil pessoas";"277";"Mil pessoas";"1345";"Mil pessoas";"306";"Mil pessoas";"1433";"Mil pessoas";"362";"Mil pessoas";"1505";"Mil pessoas";"362";"Mil pessoas";"1643";"Mil pessoas";"397";"Mil pessoas";"1665";"Mil pessoas"
"Pará";"Ensino superior incompleto ou equivalente";"53";"Mil pessoas";"147";"Mil pessoas";"45";"Mil pessoas";"181";"Mil pessoas";"65";"Mil pessoas";"202";"Mil pessoas";"60";"Mil pessoas";"201";"Mil pessoas";"74";"Mil pessoas";"217";"Mil pessoas";"68";"Mil pessoas";"245";"Mil pessoas";"88";"Mil pessoas";"288";"Mil pessoas"
"Pará";"Superior completo";"116";"Mil pessoas";"299";"Mil pessoas";"127";"Mil pessoas";"310";"Mil pessoas";"157";"Mil pessoas";"360";"Mil pessoas";"175";"Mil pessoas";"366";"Mil pessoas";"188";"Mil pessoas";"491";"Mil pessoas";"207";"Mil pessoas";"525";"Mil pessoas";"235";"Mil pessoas";"555";"Mil pessoas"
