"Tabela 7161 - Estudantes de 15 anos ou mais de idade, por grupo de idade e situação de ocupação"
"Variável - Estudantes de 15 anos ou mais de idade"
"Unidade da Federação";"Situação de ocupação na semana de referência";"Ano x Grupo de idade"
"Unidade da Federação";"Situação de ocupação na semana de referência";"2016";;;;;;"2017";;;;;;"2018";;;;;;"2019";;;;;;"2022";;;;;;"2023";;;;;;"2024"
"Unidade da Federação";"Situação de ocupação na semana de referência";"15 a 17 anos";;"18 a 24 anos";;"25 anos ou mais";;"15 a 17 anos";;"18 a 24 anos";;"25 anos ou mais";;"15 a 17 anos";;"18 a 24 anos";;"25 anos ou mais";;"15 a 17 anos";;"18 a 24 anos";;"25 anos ou mais";;"15 a 17 anos";;"18 a 24 anos";;"25 anos ou mais";;"15 a 17 anos";;"18 a 24 anos";;"25 anos ou mais";;"15 a 17 anos";;"18 a 24 anos";;"25 anos ou mais"
"Rio Grande do Norte";"Ocupados";"13";"Mil pessoas";"35";"Mil pessoas";"62";"Mil pessoas";"10";"Mil pessoas";"37";"Mil pessoas";"65";"Mil pessoas";"11";"Mil pessoas";"50";"Mil pessoas";"76";"Mil pessoas";"11";"Mil pessoas";"49";"Mil pessoas";"87";"Mil pessoas";"8";"Mil pessoas";"41";"Mil pessoas";"72";"Mil pessoas";"6";"Mil pessoas";"35";"Mil pessoas";"68";"Mil pessoas";"6";"Mil pessoas";"47";"Mil pessoas";"98";"Mil pessoas"
"Rio Grande do Norte";"Não ocupados";"139";"Mil pessoas";"92";"Mil pessoas";"30";"Mil pessoas";"145";"Mil pessoas";"92";"Mil pessoas";"32";"Mil pessoas";"141";"Mil pessoas";"95";"Mil pessoas";"32";"Mil pessoas";"123";"Mil pessoas";"98";"Mil pessoas";"37";"Mil pessoas";"135";"Mil pessoas";"98";"Mil pessoas";"34";"Mil pessoas";"141";"Mil pessoas";"81";"Mil pessoas";"41";"Mil pessoas";"152";"Mil pessoas";"75";"Mil pessoas";"27";"Mil pessoas"
"Paraíba";"Ocupados";"23";"Mil pessoas";"47";"Mil pessoas";"79";"Mil pessoas";"14";"Mil pessoas";"52";"Mil pessoas";"84";"Mil pessoas";"15";"Mil pessoas";"51";"Mil pessoas";"78";"Mil pessoas";"15";"Mil pessoas";"43";"Mil pessoas";"81";"Mil pessoas";"14";"Mil pessoas";"42";"Mil pessoas";"80";"Mil pessoas";"10";"Mil pessoas";"48";"Mil pessoas";"75";"Mil pessoas";"11";"Mil pessoas";"49";"Mil pessoas";"85";"Mil pessoas"
"Paraíba";"Não ocupados";"168";"Mil pessoas";"111";"Mil pessoas";"38";"Mil pessoas";"166";"Mil pessoas";"95";"Mil pessoas";"41";"Mil pessoas";"164";"Mil pessoas";"106";"Mil pessoas";"44";"Mil pessoas";"162";"Mil pessoas";"108";"Mil pessoas";"39";"Mil pessoas";"171";"Mil pessoas";"91";"Mil pessoas";"47";"Mil pessoas";"144";"Mil pessoas";"96";"Mil pessoas";"42";"Mil pessoas";"142";"Mil pessoas";"83";"Mil pessoas";"32";"Mil pessoas"
"Pernambuco";"Ocupados";"29";"Mil pessoas";"110";"Mil pessoas";"136";"Mil pessoas";"18";"Mil pessoas";"78";"Mil pessoas";"124";"Mil pessoas";"25";"Mil pessoas";"88";"Mil pessoas";"157";"Mil pessoas";"23";"Mil pessoas";"106";"Mil pessoas";"159";"Mil pessoas";"27";"Mil pessoas";"109";"Mil pessoas";"163";"Mil pessoas";"21";"Mil pessoas";"93";"Mil pessoas";"175";"Mil pessoas";"19";"Mil pessoas";"92";"Mil pessoas";"193";"Mil pessoas"
"Pernambuco";"Não ocupados";"379";"Mil pessoas";"208";"Mil pessoas";"68";"Mil pessoas";"421";"Mil pessoas";"217";"Mil pessoas";"76";"Mil pessoas";"381";"Mil pessoas";"203";"Mil pessoas";"81";"Mil pessoas";"376";"Mil pessoas";"207";"Mil pessoas";"80";"Mil pessoas";"364";"Mil pessoas";"186";"Mil pessoas";"72";"Mil pessoas";"373";"Mil pessoas";"186";"Mil pessoas";"65";"Mil pessoas";"402";"Mil pessoas";"182";"Mil pessoas";"80";"Mil pessoas"
"Alagoas";"Ocupados";"12";"Mil pessoas";"38";"Mil pessoas";"57";"Mil pessoas";"9";"Mil pessoas";"28";"Mil pessoas";"47";"Mil pessoas";"6";"Mil pessoas";"29";"Mil pessoas";"45";"Mil pessoas";"9";"Mil pessoas";"33";"Mil pessoas";"47";"Mil pessoas";"8";"Mil pessoas";"35";"Mil pessoas";"64";"Mil pessoas";"9";"Mil pessoas";"37";"Mil pessoas";"81";"Mil pessoas";"9";"Mil pessoas";"45";"Mil pessoas";"80";"Mil pessoas"
"Alagoas";"Não ocupados";"148";"Mil pessoas";"90";"Mil pessoas";"32";"Mil pessoas";"142";"Mil pessoas";"82";"Mil pessoas";"40";"Mil pessoas";"150";"Mil pessoas";"98";"Mil pessoas";"42";"Mil pessoas";"141";"Mil pessoas";"78";"Mil pessoas";"43";"Mil pessoas";"134";"Mil pessoas";"72";"Mil pessoas";"47";"Mil pessoas";"138";"Mil pessoas";"67";"Mil pessoas";"48";"Mil pessoas";"131";"Mil pessoas";"67";"Mil pessoas";"43";"Mil pessoas"
"Sergipe";"Ocupados";"13";"Mil pessoas";"33";"Mil pessoas";"39";"Mil pessoas";"12";"Mil pessoas";"31";"Mil pessoas";"44";"Mil pessoas";"10";"Mil pessoas";"29";"Mil pessoas";"31";"Mil pessoas";"11";"Mil pessoas";"29";"Mil pessoas";"40";"Mil pessoas";"14";"Mil pessoas";"32";"Mil pessoas";"42";"Mil pessoas";"12";"Mil pessoas";"32";"Mil pessoas";"46";"Mil pessoas";"12";"Mil pessoas";"37";"Mil pessoas";"48";"Mil pessoas"
"Sergipe";"Não ocupados";"93";"Mil pessoas";"61";"Mil pessoas";"14";"Mil pessoas";"97";"Mil pessoas";"53";"Mil pessoas";"22";"Mil pessoas";"93";"Mil pessoas";"56";"Mil pessoas";"22";"Mil pessoas";"89";"Mil pessoas";"58";"Mil pessoas";"21";"Mil pessoas";"90";"Mil pessoas";"57";"Mil pessoas";"17";"Mil pessoas";"98";"Mil pessoas";"51";"Mil pessoas";"17";"Mil pessoas";"98";"Mil pessoas";"46";"Mil pessoas";"18";"Mil pessoas"
"Bahia";"Ocupados";"121";"Mil pessoas";"221";"Mil pessoas";"312";"Mil pessoas";"96";"Mil pessoas";"224";"Mil pessoas";"289";"Mil pessoas";"81";"Mil pessoas";"206";"Mil pessoas";"339";"Mil pessoas";"83";"Mil pessoas";"192";"Mil pessoas";"301";"Mil pessoas";"99";"Mil pessoas";"173";"Mil pessoas";"298";"Mil pessoas";"67";"Mil pessoas";"175";"Mil pessoas";"289";"Mil pessoas";"73";"Mil pessoas";"211";"Mil pessoas";"272";"Mil pessoas"
"Bahia";"Não ocupados";"605";"Mil pessoas";"326";"Mil pessoas";"142";"Mil pessoas";"608";"Mil pessoas";"341";"Mil pessoas";"126";"Mil pessoas";"580";"Mil pessoas";"373";"Mil pessoas";"151";"Mil pessoas";"610";"Mil pessoas";"385";"Mil pessoas";"154";"Mil pessoas";"577";"Mil pessoas";"317";"Mil pessoas";"129";"Mil pessoas";"553";"Mil pessoas";"281";"Mil pessoas";"154";"Mil pessoas";"588";"Mil pessoas";"299";"Mil pessoas";"143";"Mil pessoas"
"Minas Gerais";"Ocupados";"145";"Mil pessoas";"349";"Mil pessoas";"448";"Mil pessoas";"123";"Mil pessoas";"321";"Mil pessoas";"437";"Mil pessoas";"127";"Mil pessoas";"345";"Mil pessoas";"459";"Mil pessoas";"166";"Mil pessoas";"325";"Mil pessoas";"501";"Mil pessoas";"157";"Mil pessoas";"273";"Mil pessoas";"515";"Mil pessoas";"114";"Mil pessoas";"314";"Mil pessoas";"478";"Mil pessoas";"133";"Mil pessoas";"338";"Mil pessoas";"585";"Mil pessoas"
"Minas Gerais";"Não ocupados";"768";"Mil pessoas";"417";"Mil pessoas";"143";"Mil pessoas";"781";"Mil pessoas";"393";"Mil pessoas";"131";"Mil pessoas";"734";"Mil pessoas";"380";"Mil pessoas";"147";"Mil pessoas";"690";"Mil pessoas";"359";"Mil pessoas";"153";"Mil pessoas";"646";"Mil pessoas";"286";"Mil pessoas";"110";"Mil pessoas";"642";"Mil pessoas";"287";"Mil pessoas";"115";"Mil pessoas";"658";"Mil pessoas";"256";"Mil pessoas";"118";"Mil pessoas"
"Espírito Santo";"Ocupados";"18";"Mil pessoas";"55";"Mil pessoas";"73";"Mil pessoas";"19";"Mil pessoas";"50";"Mil pessoas";"83";"Mil pessoas";"16";"Mil pessoas";"59";"Mil pessoas";"87";"Mil pessoas";"24";"Mil pessoas";"65";"Mil pessoas";"89";"Mil pessoas";"25";"Mil pessoas";"60";"Mil pessoas";"103";"Mil pessoas";"20";"Mil pessoas";"66";"Mil pessoas";"97";"Mil pessoas";"24";"Mil pessoas";"72";"Mil pessoas";"102";"Mil pessoas"
"Espírito Santo";"Não ocupados";"142";"Mil pessoas";"74";"Mil pessoas";"30";"Mil pessoas";"130";"Mil pessoas";"76";"Mil pessoas";"26";"Mil pessoas";"138";"Mil pessoas";"70";"Mil pessoas";"24";"Mil pessoas";"133";"Mil pessoas";"62";"Mil pessoas";"26";"Mil pessoas";"129";"Mil pessoas";"75";"Mil pessoas";"23";"Mil pessoas";"125";"Mil pessoas";"68";"Mil pessoas";"26";"Mil pessoas";"116";"Mil pessoas";"58";"Mil pessoas";"23";"Mil pessoas"
"Rio de Janeiro";"Ocupados";"32";"Mil pessoas";"185";"Mil pessoas";"235";"Mil pessoas";"29";"Mil pessoas";"186";"Mil pessoas";"279";"Mil pessoas";"24";"Mil pessoas";"204";"Mil pessoas";"354";"Mil pessoas";"27";"Mil pessoas";"219";"Mil pessoas";"367";"Mil pessoas";"31";"Mil pessoas";"230";"Mil pessoas";"521";"Mil pessoas";"34";"Mil pessoas";"225";"Mil pessoas";"530";"Mil pessoas";"36";"Mil pessoas";"220";"Mil pessoas";"571";"Mil pessoas"
"Rio de Janeiro";"Não ocupados";"643";"Mil pessoas";"448";"Mil pessoas";"121";"Mil pessoas";"632";"Mil pessoas";"450";"Mil pessoas";"134";"Mil pessoas";"607";"Mil pessoas";"447";"Mil pessoas";"153";"Mil pessoas";"565";"Mil pessoas";"432";"Mil pessoas";"143";"Mil pessoas";"560";"Mil pessoas";"416";"Mil pessoas";"179";"Mil pessoas";"570";"Mil pessoas";"411";"Mil pessoas";"170";"Mil pessoas";"566";"Mil pessoas";"366";"Mil pessoas";"164";"Mil pessoas"
"São Paulo";"Ocupados";"232";"Mil pessoas";"779";"Mil pessoas";"843";"Mil pessoas";"181";"Mil pessoas";"700";"Mil pessoas";"930";"Mil pessoas";"213";"Mil pessoas";"712";"Mil pessoas";"1052";"Mil pessoas";"216";"Mil pessoas";"755";"Mil pessoas";"1023";"Mil pessoas";"232";"Mil pessoas";"815";"Mil pessoas";"1284";"Mil pessoas";"211";"Mil pessoas";"786";"Mil pessoas";"1307";"Mil pessoas";"272";"Mil pessoas";"818";"Mil pessoas";"1291";"Mil pessoas"
"São Paulo";"Não ocupados";"1651";"Mil pessoas";"720";"Mil pessoas";"273";"Mil pessoas";"1589";"Mil pessoas";"685";"Mil pessoas";"251";"Mil pessoas";"1515";"Mil pessoas";"721";"Mil pessoas";"295";"Mil pessoas";"1381";"Mil pessoas";"667";"Mil pessoas";"265";"Mil pessoas";"1444";"Mil pessoas";"578";"Mil pessoas";"297";"Mil pessoas";"1521";"Mil pessoas";"537";"Mil pessoas";"242";"Mil pessoas";"1461";"Mil pessoas";"524";"Mil pessoas";"236";"Mil pessoas"
