"Tabela 7135 - Pessoas de 25 anos ou mais de idade, por cor ou raça e nível de instrução"
"Variável - Pessoas de 25 anos ou mais de idade"
"Unidade da Federação";"Nível de instrução";"Ano x Cor ou raça"
"Unidade da Federação";"Nível de instrução";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Nível de instrução";"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda"
"Rio Grande do Norte";"Sem instrução";"69";"Mil pessoas";"150";"Mil pessoas";"54";"Mil pessoas";"131";"Mil pessoas";"48";"Mil pessoas";"110";"Mil pessoas";"52";"Mil pessoas";"133";"Mil pessoas";"63";"Mil pessoas";"138";"Mil pessoas";"63";"Mil pessoas";"157";"Mil pessoas";"72";"Mil pessoas";"135";"Mil pessoas"
"Rio Grande do Norte";"Ensino fundamental incompleto ou equivalente";"225";"Mil pessoas";"552";"Mil pessoas";"250";"Mil pessoas";"580";"Mil pessoas";"256";"Mil pessoas";"584";"Mil pessoas";"244";"Mil pessoas";"568";"Mil pessoas";"219";"Mil pessoas";"533";"Mil pessoas";"222";"Mil pessoas";"507";"Mil pessoas";"224";"Mil pessoas";"463";"Mil pessoas"
"Rio Grande do Norte";"Ensino fundamental completo ou equivalente";"50";"Mil pessoas";"80";"Mil pessoas";"43";"Mil pessoas";"84";"Mil pessoas";"45";"Mil pessoas";"81";"Mil pessoas";"45";"Mil pessoas";"89";"Mil pessoas";"49";"Mil pessoas";"110";"Mil pessoas";"45";"Mil pessoas";"107";"Mil pessoas";"41";"Mil pessoas";"100";"Mil pessoas"
"Rio Grande do Norte";"Ensino médio incompleto ou equivalente";"37";"Mil pessoas";"81";"Mil pessoas";"33";"Mil pessoas";"84";"Mil pessoas";"29";"Mil pessoas";"66";"Mil pessoas";"43";"Mil pessoas";"77";"Mil pessoas";"41";"Mil pessoas";"105";"Mil pessoas";"44";"Mil pessoas";"94";"Mil pessoas";"37";"Mil pessoas";"90";"Mil pessoas"
"Rio Grande do Norte";"Ensino médio completo ou equivalente";"213";"Mil pessoas";"307";"Mil pessoas";"207";"Mil pessoas";"325";"Mil pessoas";"203";"Mil pessoas";"327";"Mil pessoas";"196";"Mil pessoas";"326";"Mil pessoas";"241";"Mil pessoas";"379";"Mil pessoas";"258";"Mil pessoas";"411";"Mil pessoas";"273";"Mil pessoas";"415";"Mil pessoas"
"Rio Grande do Norte";"Ensino superior incompleto ou equivalente";"25";"Mil pessoas";"39";"Mil pessoas";"34";"Mil pessoas";"33";"Mil pessoas";"22";"Mil pessoas";"52";"Mil pessoas";"37";"Mil pessoas";"42";"Mil pessoas";"44";"Mil pessoas";"38";"Mil pessoas";"37";"Mil pessoas";"43";"Mil pessoas";"33";"Mil pessoas";"55";"Mil pessoas"
"Rio Grande do Norte";"Superior completo";"125";"Mil pessoas";"124";"Mil pessoas";"127";"Mil pessoas";"124";"Mil pessoas";"156";"Mil pessoas";"133";"Mil pessoas";"171";"Mil pessoas";"164";"Mil pessoas";"184";"Mil pessoas";"164";"Mil pessoas";"186";"Mil pessoas";"169";"Mil pessoas";"192";"Mil pessoas";"219";"Mil pessoas"
"Paraíba";"Sem instrução";"87";"Mil pessoas";"233";"Mil pessoas";"84";"Mil pessoas";"224";"Mil pessoas";"84";"Mil pessoas";"237";"Mil pessoas";"76";"Mil pessoas";"224";"Mil pessoas";"76";"Mil pessoas";"240";"Mil pessoas";"84";"Mil pessoas";"232";"Mil pessoas";"71";"Mil pessoas";"208";"Mil pessoas"
"Paraíba";"Ensino fundamental incompleto ou equivalente";"280";"Mil pessoas";"656";"Mil pessoas";"243";"Mil pessoas";"682";"Mil pessoas";"269";"Mil pessoas";"667";"Mil pessoas";"271";"Mil pessoas";"682";"Mil pessoas";"266";"Mil pessoas";"657";"Mil pessoas";"241";"Mil pessoas";"638";"Mil pessoas";"247";"Mil pessoas";"640";"Mil pessoas"
"Paraíba";"Ensino fundamental completo ou equivalente";"42";"Mil pessoas";"104";"Mil pessoas";"42";"Mil pessoas";"107";"Mil pessoas";"46";"Mil pessoas";"84";"Mil pessoas";"43";"Mil pessoas";"96";"Mil pessoas";"40";"Mil pessoas";"110";"Mil pessoas";"49";"Mil pessoas";"104";"Mil pessoas";"55";"Mil pessoas";"99";"Mil pessoas"
"Paraíba";"Ensino médio incompleto ou equivalente";"30";"Mil pessoas";"69";"Mil pessoas";"29";"Mil pessoas";"76";"Mil pessoas";"29";"Mil pessoas";"66";"Mil pessoas";"29";"Mil pessoas";"67";"Mil pessoas";"33";"Mil pessoas";"94";"Mil pessoas";"42";"Mil pessoas";"95";"Mil pessoas";"41";"Mil pessoas";"98";"Mil pessoas"
"Paraíba";"Ensino médio completo ou equivalente";"171";"Mil pessoas";"311";"Mil pessoas";"171";"Mil pessoas";"327";"Mil pessoas";"185";"Mil pessoas";"353";"Mil pessoas";"166";"Mil pessoas";"354";"Mil pessoas";"205";"Mil pessoas";"402";"Mil pessoas";"211";"Mil pessoas";"421";"Mil pessoas";"224";"Mil pessoas";"427";"Mil pessoas"
"Paraíba";"Ensino superior incompleto ou equivalente";"27";"Mil pessoas";"43";"Mil pessoas";"33";"Mil pessoas";"43";"Mil pessoas";"32";"Mil pessoas";"44";"Mil pessoas";"28";"Mil pessoas";"50";"Mil pessoas";"26";"Mil pessoas";"45";"Mil pessoas";"32";"Mil pessoas";"43";"Mil pessoas";"33";"Mil pessoas";"47";"Mil pessoas"
"Paraíba";"Superior completo";"141";"Mil pessoas";"120";"Mil pessoas";"141";"Mil pessoas";"159";"Mil pessoas";"132";"Mil pessoas";"162";"Mil pessoas";"144";"Mil pessoas";"177";"Mil pessoas";"154";"Mil pessoas";"164";"Mil pessoas";"170";"Mil pessoas";"170";"Mil pessoas";"191";"Mil pessoas";"198";"Mil pessoas"
"Pernambuco";"Sem instrução";"179";"Mil pessoas";"509";"Mil pessoas";"160";"Mil pessoas";"533";"Mil pessoas";"153";"Mil pessoas";"438";"Mil pessoas";"145";"Mil pessoas";"440";"Mil pessoas";"201";"Mil pessoas";"454";"Mil pessoas";"180";"Mil pessoas";"406";"Mil pessoas";"155";"Mil pessoas";"391";"Mil pessoas"
"Pernambuco";"Ensino fundamental incompleto ou equivalente";"502";"Mil pessoas";"1511";"Mil pessoas";"476";"Mil pessoas";"1524";"Mil pessoas";"508";"Mil pessoas";"1455";"Mil pessoas";"510";"Mil pessoas";"1424";"Mil pessoas";"514";"Mil pessoas";"1363";"Mil pessoas";"552";"Mil pessoas";"1345";"Mil pessoas";"543";"Mil pessoas";"1396";"Mil pessoas"
"Pernambuco";"Ensino fundamental completo ou equivalente";"113";"Mil pessoas";"282";"Mil pessoas";"99";"Mil pessoas";"272";"Mil pessoas";"108";"Mil pessoas";"257";"Mil pessoas";"107";"Mil pessoas";"272";"Mil pessoas";"113";"Mil pessoas";"308";"Mil pessoas";"125";"Mil pessoas";"283";"Mil pessoas";"114";"Mil pessoas";"277";"Mil pessoas"
"Pernambuco";"Ensino médio incompleto ou equivalente";"66";"Mil pessoas";"168";"Mil pessoas";"60";"Mil pessoas";"182";"Mil pessoas";"63";"Mil pessoas";"189";"Mil pessoas";"69";"Mil pessoas";"182";"Mil pessoas";"74";"Mil pessoas";"191";"Mil pessoas";"75";"Mil pessoas";"186";"Mil pessoas";"80";"Mil pessoas";"195";"Mil pessoas"
"Pernambuco";"Ensino médio completo ou equivalente";"435";"Mil pessoas";"1004";"Mil pessoas";"444";"Mil pessoas";"1059";"Mil pessoas";"498";"Mil pessoas";"1070";"Mil pessoas";"520";"Mil pessoas";"1085";"Mil pessoas";"601";"Mil pessoas";"1240";"Mil pessoas";"653";"Mil pessoas";"1259";"Mil pessoas";"606";"Mil pessoas";"1322";"Mil pessoas"
"Pernambuco";"Ensino superior incompleto ou equivalente";"69";"Mil pessoas";"79";"Mil pessoas";"55";"Mil pessoas";"94";"Mil pessoas";"80";"Mil pessoas";"114";"Mil pessoas";"80";"Mil pessoas";"119";"Mil pessoas";"78";"Mil pessoas";"87";"Mil pessoas";"69";"Mil pessoas";"109";"Mil pessoas";"82";"Mil pessoas";"116";"Mil pessoas"
"Pernambuco";"Superior completo";"340";"Mil pessoas";"326";"Mil pessoas";"361";"Mil pessoas";"308";"Mil pessoas";"387";"Mil pessoas";"390";"Mil pessoas";"406";"Mil pessoas";"389";"Mil pessoas";"374";"Mil pessoas";"397";"Mil pessoas";"441";"Mil pessoas";"447";"Mil pessoas";"428";"Mil pessoas";"484";"Mil pessoas"
"Alagoas";"Sem instrução";"60";"Mil pessoas";"271";"Mil pessoas";"64";"Mil pessoas";"258";"Mil pessoas";"52";"Mil pessoas";"254";"Mil pessoas";"54";"Mil pessoas";"240";"Mil pessoas";"52";"Mil pessoas";"198";"Mil pessoas";"47";"Mil pessoas";"205";"Mil pessoas";"51";"Mil pessoas";"210";"Mil pessoas"
"Alagoas";"Ensino fundamental incompleto ou equivalente";"137";"Mil pessoas";"581";"Mil pessoas";"145";"Mil pessoas";"605";"Mil pessoas";"137";"Mil pessoas";"600";"Mil pessoas";"146";"Mil pessoas";"581";"Mil pessoas";"160";"Mil pessoas";"541";"Mil pessoas";"148";"Mil pessoas";"508";"Mil pessoas";"143";"Mil pessoas";"500";"Mil pessoas"
"Alagoas";"Ensino fundamental completo ou equivalente";"28";"Mil pessoas";"101";"Mil pessoas";"30";"Mil pessoas";"96";"Mil pessoas";"25";"Mil pessoas";"102";"Mil pessoas";"30";"Mil pessoas";"106";"Mil pessoas";"33";"Mil pessoas";"95";"Mil pessoas";"30";"Mil pessoas";"105";"Mil pessoas";"32";"Mil pessoas";"96";"Mil pessoas"
"Alagoas";"Ensino médio incompleto ou equivalente";"17";"Mil pessoas";"60";"Mil pessoas";"16";"Mil pessoas";"63";"Mil pessoas";"17";"Mil pessoas";"63";"Mil pessoas";"19";"Mil pessoas";"67";"Mil pessoas";"22";"Mil pessoas";"82";"Mil pessoas";"24";"Mil pessoas";"80";"Mil pessoas";"19";"Mil pessoas";"78";"Mil pessoas"
"Alagoas";"Ensino médio completo ou equivalente";"95";"Mil pessoas";"273";"Mil pessoas";"94";"Mil pessoas";"318";"Mil pessoas";"110";"Mil pessoas";"316";"Mil pessoas";"111";"Mil pessoas";"311";"Mil pessoas";"130";"Mil pessoas";"341";"Mil pessoas";"135";"Mil pessoas";"370";"Mil pessoas";"143";"Mil pessoas";"391";"Mil pessoas"
"Alagoas";"Ensino superior incompleto ou equivalente";"15";"Mil pessoas";"38";"Mil pessoas";"15";"Mil pessoas";"35";"Mil pessoas";"14";"Mil pessoas";"30";"Mil pessoas";"16";"Mil pessoas";"28";"Mil pessoas";"22";"Mil pessoas";"50";"Mil pessoas";"22";"Mil pessoas";"54";"Mil pessoas";"23";"Mil pessoas";"49";"Mil pessoas"
"Alagoas";"Superior completo";"69";"Mil pessoas";"85";"Mil pessoas";"67";"Mil pessoas";"92";"Mil pessoas";"90";"Mil pessoas";"106";"Mil pessoas";"100";"Mil pessoas";"129";"Mil pessoas";"99";"Mil pessoas";"156";"Mil pessoas";"103";"Mil pessoas";"159";"Mil pessoas";"118";"Mil pessoas";"169";"Mil pessoas"
"Sergipe";"Sem instrução";"33";"Mil pessoas";"142";"Mil pessoas";"26";"Mil pessoas";"126";"Mil pessoas";"25";"Mil pessoas";"124";"Mil pessoas";"22";"Mil pessoas";"105";"Mil pessoas";"30";"Mil pessoas";"112";"Mil pessoas";"30";"Mil pessoas";"102";"Mil pessoas";"27";"Mil pessoas";"103";"Mil pessoas"
"Sergipe";"Ensino fundamental incompleto ou equivalente";"98";"Mil pessoas";"391";"Mil pessoas";"94";"Mil pessoas";"421";"Mil pessoas";"102";"Mil pessoas";"404";"Mil pessoas";"111";"Mil pessoas";"423";"Mil pessoas";"100";"Mil pessoas";"407";"Mil pessoas";"108";"Mil pessoas";"361";"Mil pessoas";"94";"Mil pessoas";"393";"Mil pessoas"
"Sergipe";"Ensino fundamental completo ou equivalente";"19";"Mil pessoas";"65";"Mil pessoas";"15";"Mil pessoas";"77";"Mil pessoas";"13";"Mil pessoas";"72";"Mil pessoas";"16";"Mil pessoas";"65";"Mil pessoas";"22";"Mil pessoas";"69";"Mil pessoas";"22";"Mil pessoas";"69";"Mil pessoas";"24";"Mil pessoas";"72";"Mil pessoas"
"Sergipe";"Ensino médio incompleto ou equivalente";"10";"Mil pessoas";"40";"Mil pessoas";"10";"Mil pessoas";"55";"Mil pessoas";"13";"Mil pessoas";"52";"Mil pessoas";"8";"Mil pessoas";"52";"Mil pessoas";"12";"Mil pessoas";"60";"Mil pessoas";"13";"Mil pessoas";"64";"Mil pessoas";"16";"Mil pessoas";"59";"Mil pessoas"
"Sergipe";"Ensino médio completo ou equivalente";"66";"Mil pessoas";"239";"Mil pessoas";"64";"Mil pessoas";"243";"Mil pessoas";"64";"Mil pessoas";"242";"Mil pessoas";"72";"Mil pessoas";"266";"Mil pessoas";"103";"Mil pessoas";"274";"Mil pessoas";"78";"Mil pessoas";"305";"Mil pessoas";"95";"Mil pessoas";"315";"Mil pessoas"
"Sergipe";"Ensino superior incompleto ou equivalente";"8";"Mil pessoas";"32";"Mil pessoas";"12";"Mil pessoas";"37";"Mil pessoas";"11";"Mil pessoas";"33";"Mil pessoas";"15";"Mil pessoas";"35";"Mil pessoas";"15";"Mil pessoas";"47";"Mil pessoas";"13";"Mil pessoas";"39";"Mil pessoas";"14";"Mil pessoas";"38";"Mil pessoas"
"Sergipe";"Superior completo";"51";"Mil pessoas";"102";"Mil pessoas";"49";"Mil pessoas";"99";"Mil pessoas";"55";"Mil pessoas";"102";"Mil pessoas";"61";"Mil pessoas";"109";"Mil pessoas";"64";"Mil pessoas";"119";"Mil pessoas";"69";"Mil pessoas";"151";"Mil pessoas";"73";"Mil pessoas";"154";"Mil pessoas"
"Bahia";"Sem instrução";"211";"Mil pessoas";"965";"Mil pessoas";"209";"Mil pessoas";"990";"Mil pessoas";"206";"Mil pessoas";"1012";"Mil pessoas";"176";"Mil pessoas";"960";"Mil pessoas";"239";"Mil pessoas";"891";"Mil pessoas";"244";"Mil pessoas";"956";"Mil pessoas";"186";"Mil pessoas";"885";"Mil pessoas"
"Bahia";"Ensino fundamental incompleto ou equivalente";"546";"Mil pessoas";"2607";"Mil pessoas";"514";"Mil pessoas";"2659";"Mil pessoas";"478";"Mil pessoas";"2669";"Mil pessoas";"501";"Mil pessoas";"2649";"Mil pessoas";"489";"Mil pessoas";"2422";"Mil pessoas";"496";"Mil pessoas";"2399";"Mil pessoas";"496";"Mil pessoas";"2277";"Mil pessoas"
"Bahia";"Ensino fundamental completo ou equivalente";"78";"Mil pessoas";"394";"Mil pessoas";"82";"Mil pessoas";"389";"Mil pessoas";"71";"Mil pessoas";"412";"Mil pessoas";"75";"Mil pessoas";"414";"Mil pessoas";"90";"Mil pessoas";"416";"Mil pessoas";"89";"Mil pessoas";"458";"Mil pessoas";"99";"Mil pessoas";"454";"Mil pessoas"
"Bahia";"Ensino médio incompleto ou equivalente";"64";"Mil pessoas";"368";"Mil pessoas";"54";"Mil pessoas";"372";"Mil pessoas";"63";"Mil pessoas";"376";"Mil pessoas";"50";"Mil pessoas";"385";"Mil pessoas";"87";"Mil pessoas";"451";"Mil pessoas";"63";"Mil pessoas";"391";"Mil pessoas";"75";"Mil pessoas";"471";"Mil pessoas"
"Bahia";"Ensino médio completo ou equivalente";"418";"Mil pessoas";"1893";"Mil pessoas";"423";"Mil pessoas";"1909";"Mil pessoas";"436";"Mil pessoas";"1973";"Mil pessoas";"421";"Mil pessoas";"2050";"Mil pessoas";"467";"Mil pessoas";"2429";"Mil pessoas";"527";"Mil pessoas";"2529";"Mil pessoas";"514";"Mil pessoas";"2581";"Mil pessoas"
"Bahia";"Ensino superior incompleto ou equivalente";"50";"Mil pessoas";"215";"Mil pessoas";"55";"Mil pessoas";"196";"Mil pessoas";"57";"Mil pessoas";"255";"Mil pessoas";"47";"Mil pessoas";"235";"Mil pessoas";"51";"Mil pessoas";"211";"Mil pessoas";"74";"Mil pessoas";"212";"Mil pessoas";"70";"Mil pessoas";"220";"Mil pessoas"
"Bahia";"Superior completo";"246";"Mil pessoas";"547";"Mil pessoas";"292";"Mil pessoas";"565";"Mil pessoas";"289";"Mil pessoas";"618";"Mil pessoas";"293";"Mil pessoas";"711";"Mil pessoas";"277";"Mil pessoas";"831";"Mil pessoas";"348";"Mil pessoas";"798";"Mil pessoas";"388";"Mil pessoas";"927";"Mil pessoas"
"Minas Gerais";"Sem instrução";"199";"Mil pessoas";"468";"Mil pessoas";"194";"Mil pessoas";"409";"Mil pessoas";"188";"Mil pessoas";"425";"Mil pessoas";"168";"Mil pessoas";"433";"Mil pessoas";"164";"Mil pessoas";"402";"Mil pessoas";"196";"Mil pessoas";"436";"Mil pessoas";"171";"Mil pessoas";"385";"Mil pessoas"
"Minas Gerais";"Ensino fundamental incompleto ou equivalente";"1832";"Mil pessoas";"3279";"Mil pessoas";"1821";"Mil pessoas";"3333";"Mil pessoas";"1791";"Mil pessoas";"3305";"Mil pessoas";"1790";"Mil pessoas";"3293";"Mil pessoas";"1747";"Mil pessoas";"3102";"Mil pessoas";"1712";"Mil pessoas";"2929";"Mil pessoas";"1615";"Mil pessoas";"2893";"Mil pessoas"
"Minas Gerais";"Ensino fundamental completo ou equivalente";"453";"Mil pessoas";"740";"Mil pessoas";"434";"Mil pessoas";"764";"Mil pessoas";"413";"Mil pessoas";"705";"Mil pessoas";"440";"Mil pessoas";"715";"Mil pessoas";"426";"Mil pessoas";"668";"Mil pessoas";"430";"Mil pessoas";"658";"Mil pessoas";"426";"Mil pessoas";"691";"Mil pessoas"
"Minas Gerais";"Ensino médio incompleto ou equivalente";"211";"Mil pessoas";"365";"Mil pessoas";"204";"Mil pessoas";"344";"Mil pessoas";"210";"Mil pessoas";"374";"Mil pessoas";"185";"Mil pessoas";"445";"Mil pessoas";"250";"Mil pessoas";"458";"Mil pessoas";"228";"Mil pessoas";"477";"Mil pessoas";"240";"Mil pessoas";"497";"Mil pessoas"
"Minas Gerais";"Ensino médio completo ou equivalente";"1483";"Mil pessoas";"1741";"Mil pessoas";"1397";"Mil pessoas";"1933";"Mil pessoas";"1421";"Mil pessoas";"2044";"Mil pessoas";"1486";"Mil pessoas";"2048";"Mil pessoas";"1633";"Mil pessoas";"2339";"Mil pessoas";"1622";"Mil pessoas";"2496";"Mil pessoas";"1633";"Mil pessoas";"2593";"Mil pessoas"
"Minas Gerais";"Ensino superior incompleto ou equivalente";"243";"Mil pessoas";"221";"Mil pessoas";"215";"Mil pessoas";"255";"Mil pessoas";"245";"Mil pessoas";"233";"Mil pessoas";"249";"Mil pessoas";"274";"Mil pessoas";"236";"Mil pessoas";"268";"Mil pessoas";"242";"Mil pessoas";"296";"Mil pessoas";"239";"Mil pessoas";"320";"Mil pessoas"
"Minas Gerais";"Superior completo";"1203";"Mil pessoas";"696";"Mil pessoas";"1083";"Mil pessoas";"713";"Mil pessoas";"1288";"Mil pessoas";"791";"Mil pessoas";"1236";"Mil pessoas";"892";"Mil pessoas";"1471";"Mil pessoas";"1004";"Mil pessoas";"1530";"Mil pessoas";"1054";"Mil pessoas";"1645";"Mil pessoas";"1129";"Mil pessoas"
"Espírito Santo";"Sem instrução";"65";"Mil pessoas";"109";"Mil pessoas";"49";"Mil pessoas";"100";"Mil pessoas";"46";"Mil pessoas";"91";"Mil pessoas";"37";"Mil pessoas";"84";"Mil pessoas";"41";"Mil pessoas";"96";"Mil pessoas";"39";"Mil pessoas";"105";"Mil pessoas";"36";"Mil pessoas";"78";"Mil pessoas"
"Espírito Santo";"Ensino fundamental incompleto ou equivalente";"310";"Mil pessoas";"490";"Mil pessoas";"309";"Mil pessoas";"507";"Mil pessoas";"298";"Mil pessoas";"513";"Mil pessoas";"278";"Mil pessoas";"550";"Mil pessoas";"274";"Mil pessoas";"509";"Mil pessoas";"281";"Mil pessoas";"501";"Mil pessoas";"260";"Mil pessoas";"491";"Mil pessoas"
"Espírito Santo";"Ensino fundamental completo ou equivalente";"86";"Mil pessoas";"130";"Mil pessoas";"83";"Mil pessoas";"152";"Mil pessoas";"72";"Mil pessoas";"137";"Mil pessoas";"66";"Mil pessoas";"129";"Mil pessoas";"81";"Mil pessoas";"142";"Mil pessoas";"78";"Mil pessoas";"134";"Mil pessoas";"72";"Mil pessoas";"147";"Mil pessoas"
"Espírito Santo";"Ensino médio incompleto ou equivalente";"39";"Mil pessoas";"66";"Mil pessoas";"30";"Mil pessoas";"75";"Mil pessoas";"37";"Mil pessoas";"90";"Mil pessoas";"35";"Mil pessoas";"99";"Mil pessoas";"39";"Mil pessoas";"101";"Mil pessoas";"33";"Mil pessoas";"98";"Mil pessoas";"30";"Mil pessoas";"102";"Mil pessoas"
"Espírito Santo";"Ensino médio completo ou equivalente";"267";"Mil pessoas";"412";"Mil pessoas";"267";"Mil pessoas";"433";"Mil pessoas";"273";"Mil pessoas";"428";"Mil pessoas";"255";"Mil pessoas";"455";"Mil pessoas";"263";"Mil pessoas";"534";"Mil pessoas";"279";"Mil pessoas";"528";"Mil pessoas";"297";"Mil pessoas";"573";"Mil pessoas"
"Espírito Santo";"Ensino superior incompleto ou equivalente";"39";"Mil pessoas";"45";"Mil pessoas";"37";"Mil pessoas";"45";"Mil pessoas";"44";"Mil pessoas";"56";"Mil pessoas";"47";"Mil pessoas";"61";"Mil pessoas";"41";"Mil pessoas";"64";"Mil pessoas";"43";"Mil pessoas";"67";"Mil pessoas";"44";"Mil pessoas";"60";"Mil pessoas"
"Espírito Santo";"Superior completo";"220";"Mil pessoas";"135";"Mil pessoas";"234";"Mil pessoas";"160";"Mil pessoas";"218";"Mil pessoas";"163";"Mil pessoas";"233";"Mil pessoas";"183";"Mil pessoas";"267";"Mil pessoas";"232";"Mil pessoas";"299";"Mil pessoas";"246";"Mil pessoas";"321";"Mil pessoas";"243";"Mil pessoas"
"Rio de Janeiro";"Sem instrução";"162";"Mil pessoas";"276";"Mil pessoas";"161";"Mil pessoas";"275";"Mil pessoas";"151";"Mil pessoas";"242";"Mil pessoas";"147";"Mil pessoas";"217";"Mil pessoas";"150";"Mil pessoas";"261";"Mil pessoas";"138";"Mil pessoas";"244";"Mil pessoas";"140";"Mil pessoas";"198";"Mil pessoas"
"Rio de Janeiro";"Ensino fundamental incompleto ou equivalente";"1063";"Mil pessoas";"1922";"Mil pessoas";"1028";"Mil pessoas";"1945";"Mil pessoas";"1030";"Mil pessoas";"1794";"Mil pessoas";"991";"Mil pessoas";"1750";"Mil pessoas";"900";"Mil pessoas";"1550";"Mil pessoas";"875";"Mil pessoas";"1491";"Mil pessoas";"891";"Mil pessoas";"1574";"Mil pessoas"
"Rio de Janeiro";"Ensino fundamental completo ou equivalente";"513";"Mil pessoas";"787";"Mil pessoas";"424";"Mil pessoas";"758";"Mil pessoas";"428";"Mil pessoas";"656";"Mil pessoas";"445";"Mil pessoas";"641";"Mil pessoas";"404";"Mil pessoas";"637";"Mil pessoas";"345";"Mil pessoas";"560";"Mil pessoas";"337";"Mil pessoas";"571";"Mil pessoas"
"Rio de Janeiro";"Ensino médio incompleto ou equivalente";"165";"Mil pessoas";"243";"Mil pessoas";"160";"Mil pessoas";"339";"Mil pessoas";"182";"Mil pessoas";"345";"Mil pessoas";"192";"Mil pessoas";"353";"Mil pessoas";"186";"Mil pessoas";"371";"Mil pessoas";"200";"Mil pessoas";"375";"Mil pessoas";"176";"Mil pessoas";"343";"Mil pessoas"
"Rio de Janeiro";"Ensino médio completo ou equivalente";"1642";"Mil pessoas";"1979";"Mil pessoas";"1578";"Mil pessoas";"2094";"Mil pessoas";"1658";"Mil pessoas";"2132";"Mil pessoas";"1621";"Mil pessoas";"2225";"Mil pessoas";"1688";"Mil pessoas";"2332";"Mil pessoas";"1746";"Mil pessoas";"2388";"Mil pessoas";"1700";"Mil pessoas";"2563";"Mil pessoas"
"Rio de Janeiro";"Ensino superior incompleto ou equivalente";"234";"Mil pessoas";"173";"Mil pessoas";"260";"Mil pessoas";"229";"Mil pessoas";"317";"Mil pessoas";"283";"Mil pessoas";"331";"Mil pessoas";"294";"Mil pessoas";"364";"Mil pessoas";"325";"Mil pessoas";"375";"Mil pessoas";"321";"Mil pessoas";"330";"Mil pessoas";"328";"Mil pessoas"
"Rio de Janeiro";"Superior completo";"1452";"Mil pessoas";"525";"Mil pessoas";"1438";"Mil pessoas";"618";"Mil pessoas";"1579";"Mil pessoas";"740";"Mil pessoas";"1681";"Mil pessoas";"806";"Mil pessoas";"1963";"Mil pessoas";"965";"Mil pessoas";"2075";"Mil pessoas";"973";"Mil pessoas";"2061";"Mil pessoas";"1067";"Mil pessoas"
"São Paulo";"Sem instrução";"558";"Mil pessoas";"477";"Mil pessoas";"438";"Mil pessoas";"370";"Mil pessoas";"382";"Mil pessoas";"457";"Mil pessoas";"366";"Mil pessoas";"441";"Mil pessoas";"443";"Mil pessoas";"449";"Mil pessoas";"434";"Mil pessoas";"544";"Mil pessoas";"439";"Mil pessoas";"539";"Mil pessoas"
"São Paulo";"Ensino fundamental incompleto ou equivalente";"4299";"Mil pessoas";"3266";"Mil pessoas";"4146";"Mil pessoas";"3331";"Mil pessoas";"3844";"Mil pessoas";"3574";"Mil pessoas";"3852";"Mil pessoas";"3533";"Mil pessoas";"3576";"Mil pessoas";"3229";"Mil pessoas";"3520";"Mil pessoas";"3361";"Mil pessoas";"3348";"Mil pessoas";"3326";"Mil pessoas"
"São Paulo";"Ensino fundamental completo ou equivalente";"1680";"Mil pessoas";"1207";"Mil pessoas";"1512";"Mil pessoas";"1090";"Mil pessoas";"1378";"Mil pessoas";"1083";"Mil pessoas";"1394";"Mil pessoas";"1127";"Mil pessoas";"1333";"Mil pessoas";"1161";"Mil pessoas";"1376";"Mil pessoas";"1121";"Mil pessoas";"1274";"Mil pessoas";"1204";"Mil pessoas"
"São Paulo";"Ensino médio incompleto ou equivalente";"503";"Mil pessoas";"434";"Mil pessoas";"685";"Mil pessoas";"608";"Mil pessoas";"596";"Mil pessoas";"709";"Mil pessoas";"562";"Mil pessoas";"741";"Mil pessoas";"719";"Mil pessoas";"658";"Mil pessoas";"672";"Mil pessoas";"795";"Mil pessoas";"618";"Mil pessoas";"765";"Mil pessoas"
"São Paulo";"Ensino médio completo ou equivalente";"5776";"Mil pessoas";"3116";"Mil pessoas";"5710";"Mil pessoas";"3580";"Mil pessoas";"5423";"Mil pessoas";"3820";"Mil pessoas";"5392";"Mil pessoas";"4041";"Mil pessoas";"5790";"Mil pessoas";"4623";"Mil pessoas";"5887";"Mil pessoas";"4720";"Mil pessoas";"5912";"Mil pessoas";"5089";"Mil pessoas"
"São Paulo";"Ensino superior incompleto ou equivalente";"792";"Mil pessoas";"312";"Mil pessoas";"820";"Mil pessoas";"355";"Mil pessoas";"925";"Mil pessoas";"441";"Mil pessoas";"939";"Mil pessoas";"431";"Mil pessoas";"882";"Mil pessoas";"437";"Mil pessoas";"862";"Mil pessoas";"473";"Mil pessoas";"820";"Mil pessoas";"446";"Mil pessoas"
"São Paulo";"Superior completo";"5008";"Mil pessoas";"868";"Mil pessoas";"5049";"Mil pessoas";"1047";"Mil pessoas";"4987";"Mil pessoas";"1125";"Mil pessoas";"5260";"Mil pessoas";"1374";"Mil pessoas";"5980";"Mil pessoas";"1649";"Mil pessoas";"5927";"Mil pessoas";"1763";"Mil pessoas";"6167";"Mil pessoas";"1953";"Mil pessoas"
