"Tabela 7110 - População residente, por cor ou raça e grupo de idade"
"Variável - População"
"Unidade da Federação";"Grupo de idade";"Ano x Cor ou raça"
"Unidade da Federação";"Grupo de idade";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Grupo de idade";"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda"
"Alagoas";"10 a 14 anos";"68";"Mil pessoas";"235";"Mil pessoas";"62";"Mil pessoas";"226";"Mil pessoas";"57";"Mil pessoas";"224";"Mil pessoas";"60";"Mil pessoas";"225";"Mil pessoas";"70";"Mil pessoas";"197";"Mil pessoas";"65";"Mil pessoas";"189";"Mil pessoas";"66";"Mil pessoas";"183";"Mil pessoas"
"Alagoas";"15 a 17 anos";"46";"Mil pessoas";"145";"Mil pessoas";"37";"Mil pessoas";"150";"Mil pessoas";"37";"Mil pessoas";"150";"Mil pessoas";"38";"Mil pessoas";"141";"Mil pessoas";"43";"Mil pessoas";"117";"Mil pessoas";"41";"Mil pessoas";"124";"Mil pessoas";"41";"Mil pessoas";"114";"Mil pessoas"
"Alagoas";"18 a 24 anos";"92";"Mil pessoas";"327";"Mil pessoas";"87";"Mil pessoas";"310";"Mil pessoas";"96";"Mil pessoas";"308";"Mil pessoas";"86";"Mil pessoas";"313";"Mil pessoas";"103";"Mil pessoas";"284";"Mil pessoas";"107";"Mil pessoas";"285";"Mil pessoas";"105";"Mil pessoas";"294";"Mil pessoas"
"Alagoas";"25 a 29 anos";"60";"Mil pessoas";"194";"Mil pessoas";"63";"Mil pessoas";"204";"Mil pessoas";"66";"Mil pessoas";"194";"Mil pessoas";"62";"Mil pessoas";"183";"Mil pessoas";"69";"Mil pessoas";"207";"Mil pessoas";"65";"Mil pessoas";"214";"Mil pessoas";"65";"Mil pessoas";"209";"Mil pessoas"
"Alagoas";"30 a 39 anos";"117";"Mil pessoas";"395";"Mil pessoas";"111";"Mil pessoas";"391";"Mil pessoas";"114";"Mil pessoas";"397";"Mil pessoas";"125";"Mil pessoas";"390";"Mil pessoas";"126";"Mil pessoas";"388";"Mil pessoas";"123";"Mil pessoas";"383";"Mil pessoas";"120";"Mil pessoas";"365";"Mil pessoas"
"Alagoas";"40 a 59 anos";"149";"Mil pessoas";"553";"Mil pessoas";"158";"Mil pessoas";"572";"Mil pessoas";"166";"Mil pessoas";"564";"Mil pessoas";"183";"Mil pessoas";"578";"Mil pessoas";"205";"Mil pessoas";"578";"Mil pessoas";"202";"Mil pessoas";"593";"Mil pessoas";"215";"Mil pessoas";"618";"Mil pessoas"
"Alagoas";"60 anos ou mais";"96";"Mil pessoas";"267";"Mil pessoas";"98";"Mil pessoas";"299";"Mil pessoas";"99";"Mil pessoas";"314";"Mil pessoas";"105";"Mil pessoas";"311";"Mil pessoas";"118";"Mil pessoas";"290";"Mil pessoas";"119";"Mil pessoas";"290";"Mil pessoas";"129";"Mil pessoas";"302";"Mil pessoas"
"Sergipe";"0 a 3 anos";"33";"Mil pessoas";"106";"Mil pessoas";"33";"Mil pessoas";"95";"Mil pessoas";"35";"Mil pessoas";"103";"Mil pessoas";"35";"Mil pessoas";"98";"Mil pessoas";"40";"Mil pessoas";"97";"Mil pessoas";"36";"Mil pessoas";"104";"Mil pessoas";"42";"Mil pessoas";"95";"Mil pessoas"
"Sergipe";"4 a 5 anos";"14";"Mil pessoas";"49";"Mil pessoas";"12";"Mil pessoas";"50";"Mil pessoas";"13";"Mil pessoas";"59";"Mil pessoas";"19";"Mil pessoas";"52";"Mil pessoas";"19";"Mil pessoas";"51";"Mil pessoas";"22";"Mil pessoas";"61";"Mil pessoas";"20";"Mil pessoas";"48";"Mil pessoas"
"Sergipe";"6 a 9 anos";"29";"Mil pessoas";"106";"Mil pessoas";"24";"Mil pessoas";"110";"Mil pessoas";"27";"Mil pessoas";"116";"Mil pessoas";"30";"Mil pessoas";"103";"Mil pessoas";"34";"Mil pessoas";"114";"Mil pessoas";"36";"Mil pessoas";"119";"Mil pessoas";"35";"Mil pessoas";"110";"Mil pessoas"
"Sergipe";"10 a 14 anos";"38";"Mil pessoas";"141";"Mil pessoas";"35";"Mil pessoas";"159";"Mil pessoas";"34";"Mil pessoas";"149";"Mil pessoas";"41";"Mil pessoas";"146";"Mil pessoas";"41";"Mil pessoas";"124";"Mil pessoas";"37";"Mil pessoas";"133";"Mil pessoas";"31";"Mil pessoas";"134";"Mil pessoas"
"Sergipe";"15 a 17 anos";"25";"Mil pessoas";"98";"Mil pessoas";"22";"Mil pessoas";"102";"Mil pessoas";"23";"Mil pessoas";"91";"Mil pessoas";"20";"Mil pessoas";"92";"Mil pessoas";"28";"Mil pessoas";"82";"Mil pessoas";"25";"Mil pessoas";"93";"Mil pessoas";"24";"Mil pessoas";"94";"Mil pessoas"
"Sergipe";"18 a 24 anos";"53";"Mil pessoas";"228";"Mil pessoas";"52";"Mil pessoas";"216";"Mil pessoas";"50";"Mil pessoas";"234";"Mil pessoas";"61";"Mil pessoas";"222";"Mil pessoas";"67";"Mil pessoas";"208";"Mil pessoas";"66";"Mil pessoas";"195";"Mil pessoas";"70";"Mil pessoas";"197";"Mil pessoas"
"Sergipe";"25 a 29 anos";"36";"Mil pessoas";"150";"Mil pessoas";"36";"Mil pessoas";"151";"Mil pessoas";"41";"Mil pessoas";"160";"Mil pessoas";"45";"Mil pessoas";"157";"Mil pessoas";"42";"Mil pessoas";"160";"Mil pessoas";"41";"Mil pessoas";"156";"Mil pessoas";"45";"Mil pessoas";"154";"Mil pessoas"
"Sergipe";"30 a 39 anos";"76";"Mil pessoas";"290";"Mil pessoas";"72";"Mil pessoas";"300";"Mil pessoas";"75";"Mil pessoas";"281";"Mil pessoas";"83";"Mil pessoas";"284";"Mil pessoas";"88";"Mil pessoas";"289";"Mil pessoas";"73";"Mil pessoas";"293";"Mil pessoas";"81";"Mil pessoas";"297";"Mil pessoas"
"Sergipe";"40 a 59 anos";"112";"Mil pessoas";"395";"Mil pessoas";"103";"Mil pessoas";"417";"Mil pessoas";"103";"Mil pessoas";"409";"Mil pessoas";"119";"Mil pessoas";"427";"Mil pessoas";"138";"Mil pessoas";"444";"Mil pessoas";"137";"Mil pessoas";"427";"Mil pessoas";"136";"Mil pessoas";"459";"Mil pessoas"
"Sergipe";"60 anos ou mais";"62";"Mil pessoas";"176";"Mil pessoas";"60";"Mil pessoas";"192";"Mil pessoas";"63";"Mil pessoas";"178";"Mil pessoas";"60";"Mil pessoas";"188";"Mil pessoas";"79";"Mil pessoas";"195";"Mil pessoas";"82";"Mil pessoas";"214";"Mil pessoas";"80";"Mil pessoas";"225";"Mil pessoas"
"Bahia";"0 a 3 anos";"191";"Mil pessoas";"682";"Mil pessoas";"196";"Mil pessoas";"654";"Mil pessoas";"180";"Mil pessoas";"688";"Mil pessoas";"178";"Mil pessoas";"648";"Mil pessoas";"168";"Mil pessoas";"651";"Mil pessoas";"158";"Mil pessoas";"611";"Mil pessoas";"156";"Mil pessoas";"638";"Mil pessoas"
"Bahia";"4 a 5 anos";"83";"Mil pessoas";"339";"Mil pessoas";"78";"Mil pessoas";"374";"Mil pessoas";"78";"Mil pessoas";"352";"Mil pessoas";"72";"Mil pessoas";"359";"Mil pessoas";"76";"Mil pessoas";"361";"Mil pessoas";"87";"Mil pessoas";"361";"Mil pessoas";"87";"Mil pessoas";"319";"Mil pessoas"
"Bahia";"6 a 9 anos";"160";"Mil pessoas";"772";"Mil pessoas";"165";"Mil pessoas";"696";"Mil pessoas";"173";"Mil pessoas";"698";"Mil pessoas";"160";"Mil pessoas";"706";"Mil pessoas";"159";"Mil pessoas";"702";"Mil pessoas";"131";"Mil pessoas";"713";"Mil pessoas";"136";"Mil pessoas";"673";"Mil pessoas"
"Bahia";"10 a 14 anos";"212";"Mil pessoas";"1039";"Mil pessoas";"220";"Mil pessoas";"983";"Mil pessoas";"188";"Mil pessoas";"963";"Mil pessoas";"186";"Mil pessoas";"919";"Mil pessoas";"166";"Mil pessoas";"888";"Mil pessoas";"198";"Mil pessoas";"873";"Mil pessoas";"183";"Mil pessoas";"857";"Mil pessoas"
"Bahia";"15 a 17 anos";"143";"Mil pessoas";"681";"Mil pessoas";"133";"Mil pessoas";"666";"Mil pessoas";"118";"Mil pessoas";"630";"Mil pessoas";"123";"Mil pessoas";"642";"Mil pessoas";"133";"Mil pessoas";"596";"Mil pessoas";"127";"Mil pessoas";"533";"Mil pessoas";"117";"Mil pessoas";"566";"Mil pessoas"
"Bahia";"18 a 24 anos";"290";"Mil pessoas";"1368";"Mil pessoas";"298";"Mil pessoas";"1464";"Mil pessoas";"269";"Mil pessoas";"1439";"Mil pessoas";"294";"Mil pessoas";"1418";"Mil pessoas";"287";"Mil pessoas";"1300";"Mil pessoas";"266";"Mil pessoas";"1239";"Mil pessoas";"277";"Mil pessoas";"1279";"Mil pessoas"
"Bahia";"25 a 29 anos";"202";"Mil pessoas";"932";"Mil pessoas";"208";"Mil pessoas";"960";"Mil pessoas";"179";"Mil pessoas";"989";"Mil pessoas";"167";"Mil pessoas";"956";"Mil pessoas";"180";"Mil pessoas";"961";"Mil pessoas";"192";"Mil pessoas";"982";"Mil pessoas";"190";"Mil pessoas";"937";"Mil pessoas"
"Bahia";"30 a 39 anos";"424";"Mil pessoas";"2117";"Mil pessoas";"409";"Mil pessoas";"2046";"Mil pessoas";"422";"Mil pessoas";"2051";"Mil pessoas";"383";"Mil pessoas";"2067";"Mil pessoas";"362";"Mil pessoas";"1925";"Mil pessoas";"387";"Mil pessoas";"1907";"Mil pessoas";"332";"Mil pessoas";"1873";"Mil pessoas"
"Bahia";"40 a 59 anos";"589";"Mil pessoas";"2639";"Mil pessoas";"638";"Mil pessoas";"2703";"Mil pessoas";"606";"Mil pessoas";"2840";"Mil pessoas";"614";"Mil pessoas";"2823";"Mil pessoas";"669";"Mil pessoas";"3146";"Mil pessoas";"734";"Mil pessoas";"3077";"Mil pessoas";"745";"Mil pessoas";"3214";"Mil pessoas"
"Bahia";"60 anos ou mais";"399";"Mil pessoas";"1302";"Mil pessoas";"373";"Mil pessoas";"1371";"Mil pessoas";"394";"Mil pessoas";"1435";"Mil pessoas";"399";"Mil pessoas";"1557";"Mil pessoas";"490";"Mil pessoas";"1619";"Mil pessoas";"528";"Mil pessoas";"1776";"Mil pessoas";"563";"Mil pessoas";"1790";"Mil pessoas"
"Minas Gerais";"0 a 3 anos";"540";"Mil pessoas";"629";"Mil pessoas";"490";"Mil pessoas";"673";"Mil pessoas";"505";"Mil pessoas";"596";"Mil pessoas";"493";"Mil pessoas";"634";"Mil pessoas";"505";"Mil pessoas";"585";"Mil pessoas";"513";"Mil pessoas";"606";"Mil pessoas";"546";"Mil pessoas";"615";"Mil pessoas"
"Minas Gerais";"4 a 5 anos";"225";"Mil pessoas";"300";"Mil pessoas";"214";"Mil pessoas";"333";"Mil pessoas";"235";"Mil pessoas";"339";"Mil pessoas";"221";"Mil pessoas";"330";"Mil pessoas";"248";"Mil pessoas";"346";"Mil pessoas";"266";"Mil pessoas";"343";"Mil pessoas";"234";"Mil pessoas";"356";"Mil pessoas"
"Minas Gerais";"6 a 9 anos";"389";"Mil pessoas";"669";"Mil pessoas";"413";"Mil pessoas";"667";"Mil pessoas";"396";"Mil pessoas";"659";"Mil pessoas";"413";"Mil pessoas";"646";"Mil pessoas";"462";"Mil pessoas";"657";"Mil pessoas";"433";"Mil pessoas";"635";"Mil pessoas";"452";"Mil pessoas";"690";"Mil pessoas"
"Minas Gerais";"10 a 14 anos";"491";"Mil pessoas";"878";"Mil pessoas";"484";"Mil pessoas";"944";"Mil pessoas";"483";"Mil pessoas";"907";"Mil pessoas";"493";"Mil pessoas";"941";"Mil pessoas";"525";"Mil pessoas";"870";"Mil pessoas";"515";"Mil pessoas";"834";"Mil pessoas";"466";"Mil pessoas";"838";"Mil pessoas"
"Minas Gerais";"15 a 17 anos";"345";"Mil pessoas";"690";"Mil pessoas";"341";"Mil pessoas";"661";"Mil pessoas";"325";"Mil pessoas";"627";"Mil pessoas";"317";"Mil pessoas";"621";"Mil pessoas";"310";"Mil pessoas";"543";"Mil pessoas";"284";"Mil pessoas";"541";"Mil pessoas";"315";"Mil pessoas";"529";"Mil pessoas"
"Minas Gerais";"18 a 24 anos";"908";"Mil pessoas";"1509";"Mil pessoas";"884";"Mil pessoas";"1633";"Mil pessoas";"809";"Mil pessoas";"1635";"Mil pessoas";"826";"Mil pessoas";"1510";"Mil pessoas";"815";"Mil pessoas";"1389";"Mil pessoas";"813";"Mil pessoas";"1442";"Mil pessoas";"751";"Mil pessoas";"1383";"Mil pessoas"
"Minas Gerais";"25 a 29 anos";"785";"Mil pessoas";"1115";"Mil pessoas";"642";"Mil pessoas";"1088";"Mil pessoas";"721";"Mil pessoas";"1043";"Mil pessoas";"604";"Mil pessoas";"1074";"Mil pessoas";"630";"Mil pessoas";"1057";"Mil pessoas";"618";"Mil pessoas";"1058";"Mil pessoas";"673";"Mil pessoas";"1036";"Mil pessoas"
"Minas Gerais";"30 a 39 anos";"1364";"Mil pessoas";"1962";"Mil pessoas";"1262";"Mil pessoas";"2068";"Mil pessoas";"1339";"Mil pessoas";"2067";"Mil pessoas";"1340";"Mil pessoas";"2127";"Mil pessoas";"1316";"Mil pessoas";"2071";"Mil pessoas";"1313";"Mil pessoas";"2053";"Mil pessoas";"1308";"Mil pessoas";"2100";"Mil pessoas"
"Minas Gerais";"40 a 59 anos";"2137";"Mil pessoas";"2966";"Mil pessoas";"2099";"Mil pessoas";"3084";"Mil pessoas";"2077";"Mil pessoas";"3167";"Mil pessoas";"2179";"Mil pessoas";"3236";"Mil pessoas";"2354";"Mil pessoas";"3343";"Mil pessoas";"2367";"Mil pessoas";"3388";"Mil pessoas";"2313";"Mil pessoas";"3487";"Mil pessoas"
"Minas Gerais";"60 anos ou mais";"1339";"Mil pessoas";"1467";"Mil pessoas";"1346";"Mil pessoas";"1510";"Mil pessoas";"1418";"Mil pessoas";"1602";"Mil pessoas";"1431";"Mil pessoas";"1663";"Mil pessoas";"1627";"Mil pessoas";"1771";"Mil pessoas";"1661";"Mil pessoas";"1847";"Mil pessoas";"1673";"Mil pessoas";"1885";"Mil pessoas"
"Espírito Santo";"0 a 3 anos";"93";"Mil pessoas";"131";"Mil pessoas";"82";"Mil pessoas";"137";"Mil pessoas";"86";"Mil pessoas";"153";"Mil pessoas";"90";"Mil pessoas";"147";"Mil pessoas";"86";"Mil pessoas";"143";"Mil pessoas";"91";"Mil pessoas";"145";"Mil pessoas";"93";"Mil pessoas";"144";"Mil pessoas"
"Espírito Santo";"4 a 5 anos";"40";"Mil pessoas";"71";"Mil pessoas";"43";"Mil pessoas";"74";"Mil pessoas";"41";"Mil pessoas";"74";"Mil pessoas";"45";"Mil pessoas";"78";"Mil pessoas";"42";"Mil pessoas";"79";"Mil pessoas";"46";"Mil pessoas";"84";"Mil pessoas";"42";"Mil pessoas";"80";"Mil pessoas"
"Espírito Santo";"6 a 9 anos";"77";"Mil pessoas";"129";"Mil pessoas";"65";"Mil pessoas";"147";"Mil pessoas";"71";"Mil pessoas";"149";"Mil pessoas";"81";"Mil pessoas";"153";"Mil pessoas";"75";"Mil pessoas";"164";"Mil pessoas";"75";"Mil pessoas";"152";"Mil pessoas";"86";"Mil pessoas";"151";"Mil pessoas"
"Espírito Santo";"10 a 14 anos";"87";"Mil pessoas";"199";"Mil pessoas";"82";"Mil pessoas";"194";"Mil pessoas";"83";"Mil pessoas";"194";"Mil pessoas";"80";"Mil pessoas";"196";"Mil pessoas";"82";"Mil pessoas";"174";"Mil pessoas";"94";"Mil pessoas";"182";"Mil pessoas";"94";"Mil pessoas";"191";"Mil pessoas"
"Espírito Santo";"15 a 17 anos";"63";"Mil pessoas";"123";"Mil pessoas";"57";"Mil pessoas";"116";"Mil pessoas";"55";"Mil pessoas";"122";"Mil pessoas";"46";"Mil pessoas";"127";"Mil pessoas";"51";"Mil pessoas";"117";"Mil pessoas";"50";"Mil pessoas";"106";"Mil pessoas";"55";"Mil pessoas";"101";"Mil pessoas"
"Espírito Santo";"18 a 24 anos";"145";"Mil pessoas";"281";"Mil pessoas";"145";"Mil pessoas";"274";"Mil pessoas";"144";"Mil pessoas";"298";"Mil pessoas";"124";"Mil pessoas";"297";"Mil pessoas";"140";"Mil pessoas";"279";"Mil pessoas";"135";"Mil pessoas";"272";"Mil pessoas";"126";"Mil pessoas";"285";"Mil pessoas"
"Espírito Santo";"25 a 29 anos";"132";"Mil pessoas";"201";"Mil pessoas";"119";"Mil pessoas";"201";"Mil pessoas";"115";"Mil pessoas";"205";"Mil pessoas";"110";"Mil pessoas";"201";"Mil pessoas";"95";"Mil pessoas";"200";"Mil pessoas";"105";"Mil pessoas";"204";"Mil pessoas";"118";"Mil pessoas";"199";"Mil pessoas"
"Espírito Santo";"30 a 39 anos";"258";"Mil pessoas";"399";"Mil pessoas";"244";"Mil pessoas";"441";"Mil pessoas";"244";"Mil pessoas";"431";"Mil pessoas";"238";"Mil pessoas";"456";"Mil pessoas";"235";"Mil pessoas";"443";"Mil pessoas";"237";"Mil pessoas";"446";"Mil pessoas";"239";"Mil pessoas";"448";"Mil pessoas"
"Espírito Santo";"40 a 59 anos";"388";"Mil pessoas";"562";"Mil pessoas";"398";"Mil pessoas";"582";"Mil pessoas";"381";"Mil pessoas";"585";"Mil pessoas";"361";"Mil pessoas";"633";"Mil pessoas";"380";"Mil pessoas";"691";"Mil pessoas";"408";"Mil pessoas";"687";"Mil pessoas";"393";"Mil pessoas";"689";"Mil pessoas"
"Espírito Santo";"60 anos ou mais";"248";"Mil pessoas";"225";"Mil pessoas";"248";"Mil pessoas";"247";"Mil pessoas";"247";"Mil pessoas";"258";"Mil pessoas";"242";"Mil pessoas";"270";"Mil pessoas";"296";"Mil pessoas";"344";"Mil pessoas";"302";"Mil pessoas";"341";"Mil pessoas";"311";"Mil pessoas";"357";"Mil pessoas"
"Rio de Janeiro";"0 a 3 anos";"356";"Mil pessoas";"435";"Mil pessoas";"312";"Mil pessoas";"473";"Mil pessoas";"369";"Mil pessoas";"450";"Mil pessoas";"350";"Mil pessoas";"440";"Mil pessoas";"319";"Mil pessoas";"391";"Mil pessoas";"354";"Mil pessoas";"386";"Mil pessoas";"354";"Mil pessoas";"406";"Mil pessoas"
"Rio de Janeiro";"4 a 5 anos";"194";"Mil pessoas";"257";"Mil pessoas";"157";"Mil pessoas";"239";"Mil pessoas";"170";"Mil pessoas";"238";"Mil pessoas";"172";"Mil pessoas";"238";"Mil pessoas";"176";"Mil pessoas";"239";"Mil pessoas";"203";"Mil pessoas";"251";"Mil pessoas";"179";"Mil pessoas";"238";"Mil pessoas"
"Rio de Janeiro";"6 a 9 anos";"313";"Mil pessoas";"517";"Mil pessoas";"312";"Mil pessoas";"486";"Mil pessoas";"330";"Mil pessoas";"461";"Mil pessoas";"315";"Mil pessoas";"473";"Mil pessoas";"360";"Mil pessoas";"483";"Mil pessoas";"356";"Mil pessoas";"476";"Mil pessoas";"363";"Mil pessoas";"485";"Mil pessoas"
"Rio de Janeiro";"10 a 14 anos";"447";"Mil pessoas";"690";"Mil pessoas";"371";"Mil pessoas";"671";"Mil pessoas";"417";"Mil pessoas";"614";"Mil pessoas";"423";"Mil pessoas";"628";"Mil pessoas";"391";"Mil pessoas";"577";"Mil pessoas";"410";"Mil pessoas";"609";"Mil pessoas";"430";"Mil pessoas";"642";"Mil pessoas"
"Rio de Janeiro";"15 a 17 anos";"290";"Mil pessoas";"465";"Mil pessoas";"264";"Mil pessoas";"453";"Mil pessoas";"268";"Mil pessoas";"420";"Mil pessoas";"243";"Mil pessoas";"388";"Mil pessoas";"264";"Mil pessoas";"352";"Mil pessoas";"249";"Mil pessoas";"380";"Mil pessoas";"257";"Mil pessoas";"374";"Mil pessoas"
"Rio de Janeiro";"18 a 24 anos";"735";"Mil pessoas";"1051";"Mil pessoas";"723";"Mil pessoas";"1210";"Mil pessoas";"733";"Mil pessoas";"1049";"Mil pessoas";"758";"Mil pessoas";"1032";"Mil pessoas";"756";"Mil pessoas";"995";"Mil pessoas";"685";"Mil pessoas";"1002";"Mil pessoas";"634";"Mil pessoas";"916";"Mil pessoas"
"Rio de Janeiro";"25 a 29 anos";"586";"Mil pessoas";"761";"Mil pessoas";"543";"Mil pessoas";"778";"Mil pessoas";"555";"Mil pessoas";"796";"Mil pessoas";"559";"Mil pessoas";"755";"Mil pessoas";"540";"Mil pessoas";"794";"Mil pessoas";"548";"Mil pessoas";"772";"Mil pessoas";"542";"Mil pessoas";"755";"Mil pessoas"
"Rio de Janeiro";"30 a 39 anos";"1206";"Mil pessoas";"1451";"Mil pessoas";"1046";"Mil pessoas";"1507";"Mil pessoas";"1184";"Mil pessoas";"1503";"Mil pessoas";"1102";"Mil pessoas";"1572";"Mil pessoas";"1117";"Mil pessoas";"1519";"Mil pessoas";"1143";"Mil pessoas";"1411";"Mil pessoas";"1068";"Mil pessoas";"1541";"Mil pessoas"
"Rio de Janeiro";"40 a 59 anos";"1957";"Mil pessoas";"2432";"Mil pessoas";"1979";"Mil pessoas";"2610";"Mil pessoas";"2054";"Mil pessoas";"2531";"Mil pessoas";"2110";"Mil pessoas";"2541";"Mil pessoas";"2175";"Mil pessoas";"2547";"Mil pessoas";"2228";"Mil pessoas";"2610";"Mil pessoas";"2223";"Mil pessoas";"2655";"Mil pessoas"
"Rio de Janeiro";"60 anos ou mais";"1482";"Mil pessoas";"1261";"Mil pessoas";"1480";"Mil pessoas";"1364";"Mil pessoas";"1552";"Mil pessoas";"1362";"Mil pessoas";"1637";"Mil pessoas";"1418";"Mil pessoas";"1825";"Mil pessoas";"1581";"Mil pessoas";"1835";"Mil pessoas";"1559";"Mil pessoas";"1802";"Mil pessoas";"1694";"Mil pessoas"
"São Paulo";"0 a 3 anos";"1551";"Mil pessoas";"743";"Mil pessoas";"1499";"Mil pessoas";"832";"Mil pessoas";"1585";"Mil pessoas";"843";"Mil pessoas";"1489";"Mil pessoas";"882";"Mil pessoas";"1409";"Mil pessoas";"810";"Mil pessoas";"1455";"Mil pessoas";"786";"Mil pessoas";"1308";"Mil pessoas";"812";"Mil pessoas"
"São Paulo";"4 a 5 anos";"693";"Mil pessoas";"410";"Mil pessoas";"744";"Mil pessoas";"468";"Mil pessoas";"772";"Mil pessoas";"470";"Mil pessoas";"689";"Mil pessoas";"524";"Mil pessoas";"771";"Mil pessoas";"467";"Mil pessoas";"717";"Mil pessoas";"478";"Mil pessoas";"758";"Mil pessoas";"535";"Mil pessoas"
"São Paulo";"6 a 9 anos";"1434";"Mil pessoas";"853";"Mil pessoas";"1448";"Mil pessoas";"882";"Mil pessoas";"1413";"Mil pessoas";"957";"Mil pessoas";"1338";"Mil pessoas";"1080";"Mil pessoas";"1354";"Mil pessoas";"940";"Mil pessoas";"1297";"Mil pessoas";"971";"Mil pessoas";"1332";"Mil pessoas";"974";"Mil pessoas"
"São Paulo";"10 a 14 anos";"1815";"Mil pessoas";"1275";"Mil pessoas";"1824";"Mil pessoas";"1214";"Mil pessoas";"1714";"Mil pessoas";"1270";"Mil pessoas";"1578";"Mil pessoas";"1239";"Mil pessoas";"1650";"Mil pessoas";"1287";"Mil pessoas";"1647";"Mil pessoas";"1299";"Mil pessoas";"1524";"Mil pessoas";"1384";"Mil pessoas"
"São Paulo";"15 a 17 anos";"1253";"Mil pessoas";"870";"Mil pessoas";"1132";"Mil pessoas";"889";"Mil pessoas";"1068";"Mil pessoas";"887";"Mil pessoas";"1021";"Mil pessoas";"822";"Mil pessoas";"941";"Mil pessoas";"828";"Mil pessoas";"1001";"Mil pessoas";"829";"Mil pessoas";"944";"Mil pessoas";"859";"Mil pessoas"
"São Paulo";"18 a 24 anos";"2837";"Mil pessoas";"1953";"Mil pessoas";"2627";"Mil pessoas";"2105";"Mil pessoas";"2575";"Mil pessoas";"2339";"Mil pessoas";"2657";"Mil pessoas";"2324";"Mil pessoas";"2530";"Mil pessoas";"2171";"Mil pessoas";"2427";"Mil pessoas";"2065";"Mil pessoas";"2378";"Mil pessoas";"2085";"Mil pessoas"
"São Paulo";"25 a 29 anos";"2350";"Mil pessoas";"1420";"Mil pessoas";"2213";"Mil pessoas";"1497";"Mil pessoas";"2023";"Mil pessoas";"1556";"Mil pessoas";"2090";"Mil pessoas";"1642";"Mil pessoas";"1994";"Mil pessoas";"1631";"Mil pessoas";"2036";"Mil pessoas";"1708";"Mil pessoas";"1885";"Mil pessoas";"1692";"Mil pessoas"
"São Paulo";"30 a 39 anos";"4550";"Mil pessoas";"2666";"Mil pessoas";"4562";"Mil pessoas";"3029";"Mil pessoas";"4307";"Mil pessoas";"3169";"Mil pessoas";"4187";"Mil pessoas";"3293";"Mil pessoas";"4370";"Mil pessoas";"3127";"Mil pessoas";"4089";"Mil pessoas";"3257";"Mil pessoas";"3972";"Mil pessoas";"3310";"Mil pessoas"
"São Paulo";"40 a 59 anos";"7479";"Mil pessoas";"3939";"Mil pessoas";"7261";"Mil pessoas";"4155";"Mil pessoas";"7073";"Mil pessoas";"4472";"Mil pessoas";"7069";"Mil pessoas";"4697";"Mil pessoas";"7353";"Mil pessoas";"5023";"Mil pessoas";"7314";"Mil pessoas";"5173";"Mil pessoas";"7285";"Mil pessoas";"5552";"Mil pessoas"
"São Paulo";"60 anos ou mais";"4237";"Mil pessoas";"1655";"Mil pessoas";"4324";"Mil pessoas";"1701";"Mil pessoas";"4133";"Mil pessoas";"2012";"Mil pessoas";"4419";"Mil pessoas";"2056";"Mil pessoas";"5006";"Mil pessoas";"2423";"Mil pessoas";"5239";"Mil pessoas";"2639";"Mil pessoas";"5437";"Mil pessoas";"2767";"Mil pessoas"
"Paraná";"0 a 3 anos";"457";"Mil pessoas";"179";"Mil pessoas";"456";"Mil pessoas";"178";"Mil pessoas";"447";"Mil pessoas";"195";"Mil pessoas";"447";"Mil pessoas";"207";"Mil pessoas";"449";"Mil pessoas";"178";"Mil pessoas";"408";"Mil pessoas";"190";"Mil pessoas";"400";"Mil pessoas";"196";"Mil pessoas"
"Paraná";"4 a 5 anos";"214";"Mil pessoas";"85";"Mil pessoas";"208";"Mil pessoas";"90";"Mil pessoas";"199";"Mil pessoas";"98";"Mil pessoas";"218";"Mil pessoas";"110";"Mil pessoas";"229";"Mil pessoas";"114";"Mil pessoas";"217";"Mil pessoas";"107";"Mil pessoas";"208";"Mil pessoas";"118";"Mil pessoas"
"Paraná";"6 a 9 anos";"401";"Mil pessoas";"186";"Mil pessoas";"398";"Mil pessoas";"201";"Mil pessoas";"403";"Mil pessoas";"206";"Mil pessoas";"393";"Mil pessoas";"213";"Mil pessoas";"424";"Mil pessoas";"228";"Mil pessoas";"413";"Mil pessoas";"223";"Mil pessoas";"391";"Mil pessoas";"250";"Mil pessoas"
"Paraná";"10 a 14 anos";"527";"Mil pessoas";"283";"Mil pessoas";"520";"Mil pessoas";"272";"Mil pessoas";"519";"Mil pessoas";"267";"Mil pessoas";"480";"Mil pessoas";"294";"Mil pessoas";"474";"Mil pessoas";"292";"Mil pessoas";"457";"Mil pessoas";"266";"Mil pessoas";"452";"Mil pessoas";"297";"Mil pessoas"
"Paraná";"15 a 17 anos";"372";"Mil pessoas";"198";"Mil pessoas";"321";"Mil pessoas";"189";"Mil pessoas";"309";"Mil pessoas";"177";"Mil pessoas";"283";"Mil pessoas";"181";"Mil pessoas";"277";"Mil pessoas";"188";"Mil pessoas";"279";"Mil pessoas";"195";"Mil pessoas";"268";"Mil pessoas";"180";"Mil pessoas"
