"Tabela 7110 - População residente, por cor ou raça e grupo de idade"
"Variável - População"
"Unidade da Federação";"Grupo de idade";"Ano x Cor ou raça"
"Unidade da Federação";"Grupo de idade";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Grupo de idade";"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda"
"Pará";"0 a 3 anos";"129";"Mil pessoas";"458";"Mil pessoas";"124";"Mil pessoas";"447";"Mil pessoas";"112";"Mil pessoas";"431";"Mil pessoas";"126";"Mil pessoas";"424";"Mil pessoas";"155";"Mil pessoas";"413";"Mil pessoas";"134";"Mil pessoas";"439";"Mil pessoas";"136";"Mil pessoas";"425";"Mil pessoas"
"Pará";"4 a 5 anos";"60";"Mil pessoas";"225";"Mil pessoas";"54";"Mil pessoas";"227";"Mil pessoas";"54";"Mil pessoas";"225";"Mil pessoas";"54";"Mil pessoas";"236";"Mil pessoas";"55";"Mil pessoas";"215";"Mil pessoas";"64";"Mil pessoas";"220";"Mil pessoas";"74";"Mil pessoas";"229";"Mil pessoas"
"Pará";"6 a 9 anos";"97";"Mil pessoas";"528";"Mil pessoas";"122";"Mil pessoas";"494";"Mil pessoas";"108";"Mil pessoas";"513";"Mil pessoas";"96";"Mil pessoas";"492";"Mil pessoas";"114";"Mil pessoas";"472";"Mil pessoas";"92";"Mil pessoas";"464";"Mil pessoas";"110";"Mil pessoas";"472";"Mil pessoas"
"Pará";"10 a 14 anos";"127";"Mil pessoas";"653";"Mil pessoas";"130";"Mil pessoas";"640";"Mil pessoas";"124";"Mil pessoas";"651";"Mil pessoas";"120";"Mil pessoas";"690";"Mil pessoas";"141";"Mil pessoas";"614";"Mil pessoas";"129";"Mil pessoas";"589";"Mil pessoas";"149";"Mil pessoas";"569";"Mil pessoas"
"Pará";"15 a 17 anos";"69";"Mil pessoas";"408";"Mil pessoas";"83";"Mil pessoas";"423";"Mil pessoas";"66";"Mil pessoas";"395";"Mil pessoas";"80";"Mil pessoas";"409";"Mil pessoas";"101";"Mil pessoas";"414";"Mil pessoas";"96";"Mil pessoas";"414";"Mil pessoas";"77";"Mil pessoas";"401";"Mil pessoas"
"Pará";"18 a 24 anos";"201";"Mil pessoas";"917";"Mil pessoas";"180";"Mil pessoas";"920";"Mil pessoas";"189";"Mil pessoas";"917";"Mil pessoas";"178";"Mil pessoas";"925";"Mil pessoas";"198";"Mil pessoas";"877";"Mil pessoas";"172";"Mil pessoas";"919";"Mil pessoas";"200";"Mil pessoas";"844";"Mil pessoas"
"Pará";"25 a 29 anos";"108";"Mil pessoas";"608";"Mil pessoas";"105";"Mil pessoas";"576";"Mil pessoas";"114";"Mil pessoas";"596";"Mil pessoas";"115";"Mil pessoas";"591";"Mil pessoas";"132";"Mil pessoas";"609";"Mil pessoas";"131";"Mil pessoas";"611";"Mil pessoas";"141";"Mil pessoas";"617";"Mil pessoas"
"Pará";"30 a 39 anos";"202";"Mil pessoas";"1084";"Mil pessoas";"211";"Mil pessoas";"1087";"Mil pessoas";"213";"Mil pessoas";"1129";"Mil pessoas";"222";"Mil pessoas";"1151";"Mil pessoas";"224";"Mil pessoas";"1103";"Mil pessoas";"240";"Mil pessoas";"1150";"Mil pessoas";"256";"Mil pessoas";"1199";"Mil pessoas"
"Pará";"40 a 59 anos";"281";"Mil pessoas";"1366";"Mil pessoas";"299";"Mil pessoas";"1433";"Mil pessoas";"298";"Mil pessoas";"1453";"Mil pessoas";"312";"Mil pessoas";"1439";"Mil pessoas";"371";"Mil pessoas";"1590";"Mil pessoas";"368";"Mil pessoas";"1649";"Mil pessoas";"386";"Mil pessoas";"1633";"Mil pessoas"
"Pará";"60 anos ou mais";"132";"Mil pessoas";"584";"Mil pessoas";"139";"Mil pessoas";"599";"Mil pessoas";"130";"Mil pessoas";"637";"Mil pessoas";"153";"Mil pessoas";"648";"Mil pessoas";"190";"Mil pessoas";"740";"Mil pessoas";"191";"Mil pessoas";"759";"Mil pessoas";"215";"Mil pessoas";"773";"Mil pessoas"
