"Tabela 7125 - Taxa de analfabetismo das pessoas de 15 anos ou mais de idade, por cor ou raça e grupo de idade",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variável - Taxa de analfabetismo das pessoas de 15 anos ou mais de idade,,,,,,,
Nível,Cód.,"Brasil, Grande Região e Unidade da Federação",Ano,Cor ou raça,Grupo de idade,,
GR,1,Norte,2022,Preta ou parda,25 anos ou mais,8.8,%
GR,1,Norte,2022,Preta ou parda,40 anos ou mais,13.6,%
GR,1,Norte,2022,Preta ou parda,60 anos ou mais,25.6,%
GR,1,Norte,2023,Total,15 anos ou mais,6.4,%
GR,1,Norte,2023,Total,18 anos ou mais,6.8,%
GR,1,Norte,2023,Total,25 anos ou mais,8.1,%
GR,1,Norte,2023,Total,40 anos ou mais,12.5,%
GR,1,Norte,2023,Total,60 anos ou mais,22.0,%
GR,1,Norte,2023,Branca,15 anos ou mais,4.2,%
GR,1,Norte,2023,Branca,18 anos ou mais,4.6,%
GR,1,Norte,2023,Branca,25 anos ou mais,5.3,%
GR,1,Norte,2023,Branca,40 anos ou mais,7.9,%
GR,1,Norte,2023,Branca,60 anos ou mais,15.0,%
GR,1,Norte,2023,Preta ou parda,15 anos ou mais,6.8,%
GR,1,Norte,2023,Preta ou parda,18 anos ou mais,7.3,%
GR,1,Norte,2023,Preta ou parda,25 anos ou mais,8.7,%
GR,1,Norte,2023,Preta ou parda,40 anos ou mais,13.5,%
GR,1,Norte,2023,Preta ou parda,60 anos ou mais,23.9,%
GR,1,Norte,2024,Total,15 anos ou mais,6.0,%
GR,1,Norte,2024,Total,18 anos ou mais,6.4,%
GR,1,Norte,2024,Total,25 anos ou mais,7.6,%
GR,1,Norte,2024,Total,40 anos ou mais,11.8,%
GR,1,Norte,2024,Total,60 anos ou mais,21.5,%
GR,1,Norte,2024,Branca,15 anos ou mais,4.5,%
GR,1,Norte,2024,Branca,18 anos ou mais,4.6,%
GR,1,Norte,2024,Branca,25 anos ou mais,5.5,%
GR,1,Norte,2024,Branca,40 anos ou mais,8.0,%
GR,1,Norte,2024,Branca,60 anos ou mais,15.4,%
GR,1,Norte,2024,Preta ou parda,15 anos ou mais,6.3,%
GR,1,Norte,2024,Preta ou parda,18 anos ou mais,6.8,%
GR,1,Norte,2024,Preta ou parda,25 anos ou mais,8.0,%
GR,1,Norte,2024,Preta ou parda,40 anos ou mais,12.6,%
GR,1,Norte,2024,Preta ou parda,60 anos ou mais,23.0,%
GR,2,Nordeste,2016,Total,15 anos ou mais,13.9,%
GR,2,Nordeste,2016,Total,18 anos ou mais,14.9,%
GR,2,Nordeste,2016,Total,25 anos ou mais,17.6,%
GR,2,Nordeste,2016,Total,40 anos ou mais,25.7,%
GR,2,Nordeste,2016,Total,60 anos ou mais,39.9,%
GR,2,Nordeste,2016,Branca,15 anos ou mais,10.9,%
GR,2,Nordeste,2016,Branca,18 anos ou mais,11.7,%
GR,2,Nordeste,2016,Branca,25 anos ou mais,13.7,%
GR,2,Nordeste,2016,Branca,40 anos ou mais,19.6,%
GR,2,Nordeste,2016,Branca,60 anos ou mais,30.2,%
GR,2,Nordeste,2016,Preta ou parda,15 anos ou mais,14.9,%
GR,2,Nordeste,2016,Preta ou parda,18 anos ou mais,15.9,%
GR,2,Nordeste,2016,Preta ou parda,25 anos ou mais,18.9,%
GR,2,Nordeste,2016,Preta ou parda,40 anos ou mais,27.9,%
GR,2,Nordeste,2016,Preta ou parda,60 anos ou mais,43.8,%
GR,2,Nordeste,2017,Total,15 anos ou mais,13.7,%
GR,2,Nordeste,2017,Total,18 anos ou mais,14.6,%
GR,2,Nordeste,2017,Total,25 anos ou mais,17.3,%
GR,2,Nordeste,2017,Total,40 anos ou mais,25.4,%
GR,2,Nordeste,2017,Total,60 anos ou mais,38.8,%
GR,2,Nordeste,2017,Branca,15 anos ou mais,10.7,%
GR,2,Nordeste,2017,Branca,18 anos ou mais,11.3,%
GR,2,Nordeste,2017,Branca,25 anos ou mais,13.2,%
GR,2,Nordeste,2017,Branca,40 anos ou mais,19.3,%
GR,2,Nordeste,2017,Branca,60 anos ou mais,28.2,%
GR,2,Nordeste,2017,Preta ou parda,15 anos ou mais,14.6,%
GR,2,Nordeste,2017,Preta ou parda,18 anos ou mais,15.7,%
GR,2,Nordeste,2017,Preta ou parda,25 anos ou mais,18.6,%
GR,2,Nordeste,2017,Preta ou parda,40 anos ou mais,27.5,%
GR,2,Nordeste,2017,Preta ou parda,60 anos ou mais,42.7,%
GR,2,Nordeste,2018,Total,15 anos ou mais,13.0,%
GR,2,Nordeste,2018,Total,18 anos ou mais,13.8,%
GR,2,Nordeste,2018,Total,25 anos ou mais,16.3,%
GR,2,Nordeste,2018,Total,40 anos ou mais,24.0,%
GR,2,Nordeste,2018,Total,60 anos ou mais,37.0,%
GR,2,Nordeste,2018,Branca,15 anos ou mais,10.0,%
GR,2,Nordeste,2018,Branca,18 anos ou mais,10.6,%
GR,2,Nordeste,2018,Branca,25 anos ou mais,12.4,%
GR,2,Nordeste,2018,Branca,40 anos ou mais,17.7,%
GR,2,Nordeste,2018,Branca,60 anos ou mais,27.7,%
GR,2,Nordeste,2018,Preta ou parda,15 anos ou mais,13.9,%
GR,2,Nordeste,2018,Preta ou parda,18 anos ou mais,14.9,%
GR,2,Nordeste,2018,Preta ou parda,25 anos ou mais,17.6,%
GR,2,Nordeste,2018,Preta ou parda,40 anos ou mais,26.1,%
GR,2,Nordeste,2018,Preta ou parda,60 anos ou mais,40.5,%
GR,2,Nordeste,2019,Total,15 anos ou mais,12.9,%
GR,2,Nordeste,2019,Total,18 anos ou mais,13.8,%
GR,2,Nordeste,2019,Total,25 anos ou mais,16.2,%
GR,2,Nordeste,2019,Total,40 anos ou mais,23.9,%
GR,2,Nordeste,2019,Total,60 anos ou mais,37.4,%
GR,2,Nordeste,2019,Branca,15 anos ou mais,9.7,%
GR,2,Nordeste,2019,Branca,18 anos ou mais,10.3,%
GR,2,Nordeste,2019,Branca,25 anos ou mais,11.9,%
GR,2,Nordeste,2019,Branca,40 anos ou mais,17.2,%
GR,2,Nordeste,2019,Branca,60 anos ou mais,26.7,%
GR,2,Nordeste,2019,Preta ou parda,15 anos ou mais,14.0,%
GR,2,Nordeste,2019,Preta ou parda,18 anos ou mais,14.9,%
GR,2,Nordeste,2019,Preta ou parda,25 anos ou mais,17.6,%
GR,2,Nordeste,2019,Preta ou parda,40 anos ou mais,26.1,%
GR,2,Nordeste,2019,Preta ou parda,60 anos ou mais,41.4,%
GR,2,Nordeste,2022,Total,15 anos ou mais,11.7,%
GR,2,Nordeste,2022,Total,18 anos ou mais,12.4,%
GR,2,Nordeste,2022,Total,25 anos ou mais,14.4,%
GR,2,Nordeste,2022,Total,40 anos ou mais,21.1,%
GR,2,Nordeste,2022,Total,60 anos ou mais,32.5,%
GR,2,Nordeste,2022,Branca,15 anos ou mais,9.7,%
GR,2,Nordeste,2022,Branca,18 anos ou mais,10.2,%
GR,2,Nordeste,2022,Branca,25 anos ou mais,11.7,%
GR,2,Nordeste,2022,Branca,40 anos ou mais,16.7,%
GR,2,Nordeste,2022,Branca,60 anos ou mais,25.4,%
GR,2,Nordeste,2022,Preta ou parda,15 anos ou mais,12.4,%
GR,2,Nordeste,2022,Preta ou parda,18 anos ou mais,13.2,%
GR,2,Nordeste,2022,Preta ou parda,25 anos ou mais,15.3,%
GR,2,Nordeste,2022,Preta ou parda,40 anos ou mais,22.6,%
GR,2,Nordeste,2022,Preta ou parda,60 anos ou mais,35.4,%
GR,2,Nordeste,2023,Total,15 anos ou mais,11.2,%
