"Tabela 7444 - Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, de todos os trabalhos, a preços médios do último ano, por sexo",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
"Variável - Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos, a preços médios do último ano",,,,,,
Nível,Cód.,"Brasil, Grande Região e Unidade da Federação",Ano,Sexo,,
UF,11,Rondônia,2023,Mulheres,2407.0,Reais
UF,11,Rondônia,2024,Homens,3243.0,Reais
UF,11,Rondônia,2024,Mulheres,2646.0,Reais
UF,12,Acre,2012,Homens,2789.0,Reais
UF,12,Acre,2012,Mulheres,2458.0,Reais
UF,12,Acre,2013,Homens,2608.0,Reais
UF,12,Acre,2013,Mulheres,2309.0,Reais
UF,12,Acre,2014,Homens,2635.0,Reais
UF,12,Acre,2014,Mulheres,2451.0,Reais
UF,12,Acre,2015,Homens,2725.0,Reais
UF,12,Acre,2015,Mulheres,2519.0,Reais
UF,12,Acre,2016,Homens,2589.0,Reais
UF,12,Acre,2016,Mulheres,2269.0,Reais
UF,12,Acre,2017,Homens,2424.0,Reais
UF,12,Acre,2017,Mulheres,2236.0,Reais
UF,12,Acre,2018,Homens,2562.0,Reais
UF,12,Acre,2018,Mulheres,2375.0,Reais
UF,12,Acre,2019,Homens,2587.0,Reais
UF,12,Acre,2019,Mulheres,2393.0,Reais
UF,12,Acre,2020,Homens,2704.0,Reais
UF,12,Acre,2020,Mulheres,2266.0,Reais
UF,12,Acre,2021,Homens,2467.0,Reais
UF,12,Acre,2021,Mulheres,2173.0,Reais
UF,12,Acre,2022,Homens,2440.0,Reais
UF,12,Acre,2022,Mulheres,2381.0,Reais
UF,12,Acre,2023,Homens,2490.0,Reais
UF,12,Acre,2023,Mulheres,2415.0,Reais
UF,12,Acre,2024,Homens,2557.0,Reais
UF,12,Acre,2024,Mulheres,2572.0,Reais
UF,13,Amazonas,2012,Homens,2791.0,Reais
UF,13,Amazonas,2012,Mulheres,2536.0,Reais
UF,13,Amazonas,2013,Homens,2788.0,Reais
UF,13,Amazonas,2013,Mulheres,2469.0,Reais
UF,13,Amazonas,2014,Homens,2874.0,Reais
UF,13,Amazonas,2014,Mulheres,2193.0,Reais
UF,13,Amazonas,2015,Homens,2699.0,Reais
UF,13,Amazonas,2015,Mulheres,2318.0,Reais
UF,13,Amazonas,2016,Homens,2378.0,Reais
UF,13,Amazonas,2016,Mulheres,2088.0,Reais
UF,13,Amazonas,2017,Homens,2722.0,Reais
UF,13,Amazonas,2017,Mulheres,2291.0,Reais
UF,13,Amazonas,2018,Homens,2235.0,Reais
UF,13,Amazonas,2018,Mulheres,1980.0,Reais
UF,13,Amazonas,2019,Homens,2311.0,Reais
UF,13,Amazonas,2019,Mulheres,2183.0,Reais
UF,13,Amazonas,2020,Homens,2367.0,Reais
UF,13,Amazonas,2020,Mulheres,2364.0,Reais
UF,13,Amazonas,2021,Homens,2288.0,Reais
UF,13,Amazonas,2021,Mulheres,2008.0,Reais
